time_to_recover,event_timing,team
31.541,before event,Argentina
51.55,before event,Argentina
4.578,before event,Saudi Arabia
211.866,before event,Saudi Arabia
17.865,after event,Saudi Arabia
3.366,after event,Argentina
1.039,after event,Argentina
224.295,after event,Saudi Arabia
16.14,before event,Saudi Arabia
1.817,before event,Saudi Arabia
72.097,before event,Saudi Arabia
5.91,before event,Saudi Arabia
32.177,before event,Saudi Arabia
131.431,before event,Argentina
169.934,before event,Argentina
16.14,before event,Saudi Arabia
1.817,before event,Saudi Arabia
72.097,before event,Saudi Arabia
5.91,before event,Saudi Arabia
32.177,before event,Saudi Arabia
131.431,before event,Argentina
169.934,before event,Argentina
49.936,before event,Argentina
13.983,after event,Saudi Arabia
4.576,after event,Saudi Arabia
53.213,after event,Saudi Arabia
11.432,after event,Saudi Arabia
102.282,after event,Saudi Arabia
49.936,before event,Argentina
13.983,after event,Saudi Arabia
4.576,after event,Saudi Arabia
53.213,after event,Saudi Arabia
11.432,after event,Saudi Arabia
102.282,after event,Saudi Arabia
13.983,before event,Saudi Arabia
4.576,before event,Saudi Arabia
53.213,before event,Saudi Arabia
11.432,before event,Saudi Arabia
102.282,before event,Saudi Arabia
1.585,after event,Saudi Arabia
2.492,after event,Saudi Arabia
15.101,after event,Argentina
27.453,after event,Saudi Arabia
4.234,after event,Saudi Arabia
56.741,after event,Saudi Arabia
2.826,after event,Saudi Arabia
22.974,after event,Saudi Arabia
13.327,after event,Saudi Arabia
13.983,before event,Saudi Arabia
4.576,before event,Saudi Arabia
53.213,before event,Saudi Arabia
11.432,before event,Saudi Arabia
102.282,before event,Saudi Arabia
1.585,after event,Saudi Arabia
2.492,after event,Saudi Arabia
15.101,after event,Argentina
27.453,after event,Saudi Arabia
4.234,after event,Saudi Arabia
56.741,after event,Saudi Arabia
2.826,after event,Saudi Arabia
22.974,after event,Saudi Arabia
13.327,after event,Saudi Arabia
40.852,before event,Saudi Arabia
71.598,before event,Argentina
213.64,before event,Argentina
4.068,after event,Argentina
204.302,after event,Saudi Arabia
40.852,before event,Saudi Arabia
71.598,before event,Argentina
213.64,before event,Argentina
4.068,after event,Argentina
204.302,after event,Saudi Arabia
105.629,before event,Saudi Arabia
25.859,before event,Saudi Arabia
270.896,before event,Saudi Arabia
196.615,after event,Saudi Arabia
105.629,before event,Saudi Arabia
25.859,before event,Saudi Arabia
270.896,before event,Saudi Arabia
196.615,after event,Saudi Arabia
