time_to_recover,event_timing,team
70.294,before event,Australia
83.795,before event,Argentina
46.539,before event,Argentina
27.865,before event,Argentina
131.542,after event,Australia
60.61,after event,Argentina
36.888,after event,Argentina
11.266,before event,Australia
2.194,before event,Australia
250.748,before event,Australia
10.514,before event,Australia
198.448,after event,Australia
142.974,after event,Argentina
87.839,before event,Argentina
81.239,before event,Australia
2.594,before event,Australia
1.982,after event,Argentina
35.388,after event,Australia
31.324,after event,Australia
116.019,after event,Australia
43.213,after event,Australia
57.692,after event,Australia
