time_to_recover,event_timing,team
160.128,after event,Argentina
16.473,after event,Argentina
4.48,after event,Argentina
154.769,after event,Argentina
160.128,after event,Argentina
16.473,after event,Argentina
4.48,after event,Argentina
154.769,after event,Argentina
160.128,before event,Argentina
16.473,before event,Argentina
4.48,before event,Argentina
154.769,before event,Argentina
72.869,after event,Argentina
188.187,after event,Argentina
136.35,before event,Argentina
10.323,before event,Argentina
182.479,before event,Argentina
39.948,after event,Argentina
2.841,after event,Argentina
70.413,after event,Croatia
1.8199999999999998,after event,Croatia
119.521,after event,Argentina
1.259,after event,Argentina
15.137,before event,Croatia
34.696,before event,Argentina
115.841,before event,Argentina
256.023,after event,Argentina
115.841,before event,Argentina
256.023,before event,Argentina
81.308,after event,Argentina
50.281,after event,Argentina
115.841,before event,Argentina
256.023,before event,Argentina
81.308,after event,Argentina
50.281,after event,Argentina
81.308,before event,Argentina
50.281,before event,Argentina
107.397,before event,Croatia
1.143,after event,Argentina
73.127,after event,Croatia
22.8,after event,Croatia
163.559,after event,Croatia
1.143,before event,Argentina
73.127,before event,Croatia
22.8,before event,Croatia
163.559,before event,Croatia
3.447,after event,Croatia
142.807,after event,Argentina
5.808,after event,Argentina
22.179,after event,Croatia
6.103,after event,Croatia
49.701,after event,Croatia
1.143,before event,Argentina
73.127,before event,Croatia
22.8,before event,Croatia
163.559,before event,Croatia
3.447,after event,Croatia
142.807,after event,Argentina
5.808,after event,Argentina
22.179,after event,Croatia
6.103,after event,Croatia
49.701,after event,Croatia
58.937,after event,Croatia
