time_to_recover,event_timing,team
160.128,after event,Argentina
16.473,after event,Argentina
4.48,after event,Argentina
154.769,after event,Argentina
160.128,before event,Argentina
16.473,before event,Argentina
4.48,before event,Argentina
154.769,before event,Argentina
72.869,after event,Argentina
188.187,after event,Argentina
136.35,before event,Argentina
10.323,before event,Argentina
182.479,before event,Argentina
39.948,after event,Argentina
2.841,after event,Argentina
70.413,after event,Croatia
1.8199999999999998,after event,Croatia
119.521,after event,Argentina
1.259,after event,Argentina
46.772,after event,Croatia
