time_to_recover,event_timing,team
3.539,before event,Argentina
21.029,before event,Argentina
5.8629999999999995,before event,Croatia
44.694,before event,Croatia
71.573,before event,Croatia
1.603,before event,Argentina
2.56,after event,Croatia
25.088,after event,Argentina
23.31,after event,Argentina
30.552,after event,Argentina
2.841,before event,Argentina
70.413,before event,Croatia
1.8199999999999998,before event,Croatia
119.521,before event,Argentina
1.259,before event,Argentina
46.772,before event,Croatia
15.137,before event,Croatia
34.696,after event,Argentina
115.841,after event,Argentina
