time_to_recover,event_timing,team
109.808,after event,Argentina
44.285,after event,Poland
29.097,after event,Poland
42.036,after event,Poland
148.551,before event,Argentina
3.891,before event,Argentina
137.765,after event,Poland
2.395,after event,Poland
342.484,after event,Argentina
95.331,before event,Argentina
41.073,before event,Argentina
5.819,before event,Argentina
56.828,after event,Mexico
158.954,after event,Mexico
5.729,before event,Argentina
31.03,before event,Mexico
4.212,after event,Mexico
11.762,after event,Argentina
92.43,after event,Mexico
7.374,after event,Mexico
12.56,after event,Mexico
135.65,after event,Argentina
64.261,before event,Argentina
13.359,after event,Saudi Arabia
5.11,after event,Saudi Arabia
2.048,after event,Saudi Arabia
2.039,after event,Saudi Arabia
3.7640000000000002,after event,Saudi Arabia
14.887,after event,Saudi Arabia
20.093,after event,Argentina
60.166,after event,Argentina
32.992,after event,Argentina
103.235,after event,Argentina
49.936,before event,Argentina
13.983,before event,Saudi Arabia
4.576,before event,Saudi Arabia
53.213,after event,Saudi Arabia
11.432,after event,Saudi Arabia
102.282,after event,Saudi Arabia
1.585,after event,Saudi Arabia
2.492,after event,Saudi Arabia
53.213,before event,Saudi Arabia
11.432,before event,Saudi Arabia
102.282,before event,Saudi Arabia
1.585,before event,Saudi Arabia
2.492,before event,Saudi Arabia
15.101,after event,Argentina
27.453,after event,Saudi Arabia
4.234,after event,Saudi Arabia
56.741,after event,Saudi Arabia
2.826,after event,Saudi Arabia
22.974,after event,Saudi Arabia
13.327,after event,Saudi Arabia
67.952,after event,Argentina
70.294,before event,Australia
83.795,before event,Argentina
46.539,before event,Argentina
27.865,before event,Argentina
131.542,after event,Australia
60.61,after event,Argentina
36.888,after event,Argentina
11.266,before event,Australia
2.194,before event,Australia
250.748,before event,Australia
10.514,before event,Australia
198.448,after event,Australia
142.974,after event,Argentina
87.839,before event,Argentina
81.239,before event,Australia
2.594,before event,Australia
1.982,after event,Argentina
35.388,after event,Australia
31.324,after event,Australia
116.019,after event,Australia
43.213,after event,Australia
57.692,after event,Australia
5.939,before event,Netherlands
10.666,before event,Netherlands
123.447,before event,Argentina
61.35,after event,Argentina
71.442,after event,Argentina
1.467,after event,Argentina
76.367,before event,Argentina
46.914,before event,Netherlands
20.883,before event,Netherlands
5.717,before event,Argentina
128.633,after event,Netherlands
13.831,after event,Argentina
107.053,after event,Netherlands
83.732,before event,Netherlands
3.1310000000000002,before event,Netherlands
4.723,before event,Netherlands
24.81,before event,Netherlands
190.379,after event,Netherlands
81.58,after event,Netherlands
20.049,before event,Argentina
5.454,before event,Argentina
55.585,before event,Netherlands
14.877,before event,Netherlands
1.552,after event,Argentina
5.8629999999999995,before event,Croatia
44.694,before event,Croatia
71.573,before event,Croatia
1.603,before event,Argentina
2.56,after event,Croatia
25.088,after event,Argentina
23.31,after event,Argentina
30.552,after event,Argentina
2.819,after event,Croatia
1.31,after event,Croatia
57.465,after event,Argentina
1.178,after event,Argentina
2.56,before event,Croatia
25.088,before event,Argentina
23.31,before event,Argentina
30.552,before event,Argentina
2.819,before event,Croatia
1.31,before event,Croatia
57.465,before event,Argentina
1.178,before event,Argentina
6.969,after event,Croatia
292.902,after event,Croatia
1.8199999999999998,before event,Croatia
119.521,before event,Argentina
1.259,before event,Argentina
46.772,before event,Croatia
15.137,before event,Croatia
34.696,before event,Argentina
115.841,after event,Argentina
256.023,after event,Argentina
51.417,before event,Argentina
32.079,before event,Argentina
57.921,after event,France
36.827,after event,France
2.135,after event,France
79.657,after event,Argentina
498.005,after event,France
11.971,after event,France
8.102,after event,Argentina
76.814,after event,France
97.604,after event,Argentina
139.563,after event,France
4.732,before event,France
39.69,before event,France
18.486,before event,France
62.954,before event,France
30.983,before event,France
34.128,before event,France
42.099,after event,Argentina
39.537,after event,Argentina
16.143,after event,Argentina
527.305,after event,Argentina
62.954,before event,France
30.983,before event,France
34.128,before event,France
42.099,before event,Argentina
39.537,after event,Argentina
16.143,after event,Argentina
527.305,after event,Argentina
8.412,before event,Argentina
28.955,before event,Argentina
4.663,before event,Argentina
109.698,after event,France
73.064,after event,France
22.046,before event,France
4.578,before event,France
71.313,before event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
188.97,after event,Argentina
60.442,after event,Argentina
