time_to_recover,event_timing,team
2.437,before event,Argentina
92.583,before event,Argentina
83.77,before event,Argentina
37.486,after event,Argentina
74.219,after event,Poland
94.309,after event,Poland
20.103,after event,Argentina
92.631,before event,Argentina
158.901,before event,Argentina
104.706,before event,Argentina
655.112,after event,Poland
92.631,before event,Argentina
158.901,before event,Argentina
104.706,before event,Argentina
655.112,after event,Poland
32.927,before event,Argentina
191.208,before event,Mexico
169.4,before event,Mexico
63.543,after event,Mexico
15.95,after event,Mexico
111.81,after event,Argentina
32.927,before event,Argentina
191.208,before event,Mexico
169.4,before event,Mexico
63.543,after event,Mexico
15.95,after event,Mexico
111.81,after event,Argentina
169.4,before event,Mexico
63.543,before event,Mexico
15.95,before event,Mexico
111.81,before event,Argentina
79.564,after event,Mexico
56.505,after event,Mexico
92.642,after event,Mexico
56.505,before event,Mexico
92.642,before event,Mexico
67.38,before event,Mexico
184.791,before event,Mexico
8.559,after event,Mexico
131.968,after event,Argentina
56.505,before event,Mexico
92.642,before event,Mexico
67.38,before event,Mexico
184.791,before event,Mexico
8.559,after event,Mexico
131.968,after event,Argentina
8.559,before event,Mexico
131.968,before event,Argentina
5.172,before event,Argentina
84.217,before event,Mexico
213.681,after event,Mexico
44.129,after event,Mexico
213.681,before event,Mexico
44.129,before event,Mexico
188.414,before event,Argentina
73.312,after event,Mexico
133.263,after event,Mexico
44.129,before event,Mexico
188.414,before event,Argentina
73.312,before event,Mexico
133.263,after event,Mexico
67.772,after event,Argentina
62.143,after event,Mexico
73.312,before event,Mexico
133.263,before event,Mexico
67.772,after event,Argentina
62.143,after event,Mexico
63.842,after event,Mexico
305.383,after event,Mexico
73.312,before event,Mexico
133.263,before event,Mexico
67.772,before event,Argentina
62.143,after event,Mexico
63.842,after event,Mexico
305.383,after event,Mexico
73.312,before event,Mexico
133.263,before event,Mexico
67.772,before event,Argentina
62.143,before event,Mexico
63.842,after event,Mexico
305.383,after event,Mexico
19.262,before event,Mexico
2.894,before event,Mexico
335.045,before event,Argentina
4.212,before event,Mexico
11.762,before event,Argentina
92.43,before event,Mexico
7.374,before event,Mexico
12.56,before event,Mexico
135.65,before event,Argentina
31.414,after event,Argentina
111.241,after event,Argentina
4.142,after event,Argentina
58.881,after event,Mexico
4.212,before event,Mexico
11.762,before event,Argentina
92.43,before event,Mexico
7.374,before event,Mexico
12.56,before event,Mexico
135.65,before event,Argentina
31.414,after event,Argentina
111.241,after event,Argentina
4.142,after event,Argentina
58.881,after event,Mexico
31.541,before event,Argentina
51.55,before event,Argentina
4.578,before event,Saudi Arabia
211.866,before event,Saudi Arabia
17.865,after event,Saudi Arabia
3.366,after event,Argentina
1.039,after event,Argentina
224.295,after event,Saudi Arabia
16.14,before event,Saudi Arabia
1.817,before event,Saudi Arabia
72.097,before event,Saudi Arabia
5.91,before event,Saudi Arabia
32.177,before event,Saudi Arabia
131.431,before event,Argentina
169.934,before event,Argentina
16.14,before event,Saudi Arabia
1.817,before event,Saudi Arabia
72.097,before event,Saudi Arabia
5.91,before event,Saudi Arabia
32.177,before event,Saudi Arabia
131.431,before event,Argentina
169.934,before event,Argentina
49.936,before event,Argentina
13.983,after event,Saudi Arabia
4.576,after event,Saudi Arabia
53.213,after event,Saudi Arabia
11.432,after event,Saudi Arabia
102.282,after event,Saudi Arabia
49.936,before event,Argentina
13.983,after event,Saudi Arabia
4.576,after event,Saudi Arabia
53.213,after event,Saudi Arabia
11.432,after event,Saudi Arabia
102.282,after event,Saudi Arabia
13.983,before event,Saudi Arabia
4.576,before event,Saudi Arabia
53.213,before event,Saudi Arabia
11.432,before event,Saudi Arabia
102.282,before event,Saudi Arabia
1.585,after event,Saudi Arabia
2.492,after event,Saudi Arabia
15.101,after event,Argentina
27.453,after event,Saudi Arabia
4.234,after event,Saudi Arabia
56.741,after event,Saudi Arabia
2.826,after event,Saudi Arabia
22.974,after event,Saudi Arabia
13.327,after event,Saudi Arabia
13.983,before event,Saudi Arabia
4.576,before event,Saudi Arabia
53.213,before event,Saudi Arabia
11.432,before event,Saudi Arabia
102.282,before event,Saudi Arabia
1.585,after event,Saudi Arabia
2.492,after event,Saudi Arabia
15.101,after event,Argentina
27.453,after event,Saudi Arabia
4.234,after event,Saudi Arabia
56.741,after event,Saudi Arabia
2.826,after event,Saudi Arabia
22.974,after event,Saudi Arabia
13.327,after event,Saudi Arabia
40.852,before event,Saudi Arabia
71.598,before event,Argentina
213.64,before event,Argentina
4.068,after event,Argentina
