time_to_recover,event_timing,team
109.808,after event,Argentina
44.285,after event,Poland
109.808,after event,Argentina
44.285,after event,Poland
63.378,before event,Poland
177.058,before event,Poland
23.112,after event,Poland
83.895,after event,Argentina
63.378,before event,Poland
177.058,before event,Poland
23.112,after event,Poland
83.895,after event,Argentina
148.551,after event,Argentina
63.378,before event,Poland
177.058,before event,Poland
23.112,before event,Poland
83.895,after event,Argentina
148.551,after event,Argentina
3.891,after event,Argentina
137.765,before event,Poland
2.395,before event,Poland
342.484,before event,Argentina
64.396,after event,Argentina
64.396,before event,Argentina
395.624,before event,Poland
64.396,before event,Argentina
395.624,before event,Poland
3.278,after event,Poland
44.125,after event,Argentina
9.768,after event,Poland
125.821,after event,Poland
3.278,after event,Poland
44.125,after event,Argentina
9.768,after event,Poland
125.821,after event,Poland
63.842,before event,Mexico
305.383,before event,Mexico
19.262,after event,Mexico
2.894,after event,Mexico
335.045,after event,Argentina
168.223,before event,Argentina
150.527,before event,Mexico
9.278,after event,Mexico
51.14,after event,Argentina
95.331,after event,Argentina
41.073,after event,Argentina
9.278,before event,Mexico
51.14,before event,Argentina
95.331,before event,Argentina
41.073,before event,Argentina
5.819,before event,Argentina
56.828,after event,Mexico
158.954,after event,Mexico
9.278,before event,Mexico
51.14,before event,Argentina
95.331,before event,Argentina
41.073,before event,Argentina
5.819,before event,Argentina
56.828,after event,Mexico
158.954,after event,Mexico
41.073,before event,Argentina
5.819,before event,Argentina
56.828,after event,Mexico
158.954,after event,Mexico
54.366,after event,Mexico
41.073,before event,Argentina
5.819,before event,Argentina
56.828,after event,Mexico
158.954,after event,Mexico
54.366,after event,Mexico
56.828,before event,Mexico
158.954,before event,Mexico
54.366,after event,Mexico
72.473,after event,Argentina
10.746,after event,Argentina
19.004,after event,Argentina
56.828,before event,Mexico
158.954,before event,Mexico
54.366,after event,Mexico
72.473,after event,Argentina
10.746,after event,Argentina
19.004,after event,Argentina
5.916,after event,Argentina
2.547,after event,Argentina
40.157,after event,Mexico
54.366,before event,Mexico
72.473,before event,Argentina
10.746,before event,Argentina
19.004,after event,Argentina
5.916,after event,Argentina
2.547,after event,Argentina
40.157,after event,Mexico
9.45,after event,Mexico
10.462,after event,Mexico
105.103,after event,Argentina
14.675,after event,Argentina
10.596,after event,Argentina
236.738,after event,Mexico
1.817,before event,Saudi Arabia
72.097,before event,Saudi Arabia
5.91,before event,Saudi Arabia
32.177,before event,Saudi Arabia
131.431,before event,Argentina
169.934,before event,Argentina
15.101,before event,Argentina
27.453,before event,Saudi Arabia
4.234,before event,Saudi Arabia
56.741,before event,Saudi Arabia
2.826,before event,Saudi Arabia
22.974,before event,Saudi Arabia
13.327,before event,Saudi Arabia
67.952,before event,Argentina
79.265,before event,Saudi Arabia
94.486,after event,Argentina
22.671,after event,Argentina
12.585,after event,Argentina
9.996,after event,Argentina
65.533,after event,Argentina
15.101,before event,Argentina
