time_to_recover,event_timing,team
109.808,before event,Argentina
44.285,after event,Poland
29.097,after event,Poland
42.036,after event,Poland
1.8199999999999998,after event,Poland
2.2720000000000002,after event,Poland
45.102,after event,Argentina
51.787,after event,Argentina
64.396,before event,Argentina
395.624,after event,Poland
8.559,before event,Mexico
131.968,before event,Argentina
5.172,before event,Argentina
84.217,after event,Mexico
213.681,after event,Mexico
44.129,after event,Mexico
19.262,before event,Mexico
2.894,before event,Mexico
335.045,after event,Argentina
38.286,before event,Argentina
81.793,before event,Mexico
28.321,before event,Mexico
42.146,before event,Mexico
183.948,before event,Mexico
168.223,after event,Argentina
41.073,before event,Argentina
5.819,before event,Argentina
56.828,before event,Mexico
158.954,after event,Mexico
54.366,after event,Mexico
72.473,after event,Argentina
31.03,before event,Mexico
4.212,before event,Mexico
11.762,before event,Argentina
92.43,after event,Mexico
7.374,after event,Mexico
12.56,after event,Mexico
135.65,after event,Argentina
31.414,after event,Argentina
111.241,after event,Argentina
65.533,before event,Argentina
15.163,before event,Argentina
46.173,before event,Saudi Arabia
25.241,before event,Saudi Arabia
187.444,before event,Saudi Arabia
278.466,after event,Saudi Arabia
11.784,before event,Argentina
79.993,before event,Saudi Arabia
324.349,before event,Saudi Arabia
40.852,after event,Saudi Arabia
71.598,after event,Argentina
213.64,after event,Argentina
55.074,before event,Argentina
65.547,before event,Australia
223.817,before event,Australia
151.437,after event,Australia
43.855,after event,Australia
37.046,after event,Australia
27.865,before event,Argentina
131.542,before event,Australia
60.61,after event,Argentina
36.888,after event,Argentina
86.746,after event,Argentina
71.442,before event,Argentina
1.467,before event,Argentina
93.396,before event,Argentina
47.515,before event,Netherlands
19.18,before event,Netherlands
14.574,before event,Netherlands
165.236,after event,Argentina
48.208,after event,Argentina
61.585,after event,Argentina
47.515,before event,Netherlands
19.18,before event,Netherlands
14.574,before event,Netherlands
165.236,before event,Argentina
48.208,after event,Argentina
61.585,after event,Argentina
13.961,after event,Argentina
83.927,after event,Netherlands
81.58,before event,Netherlands
3.2359999999999998,before event,Netherlands
1.166,before event,Netherlands
318.033,after event,Argentina
4.623,before event,Netherlands
101.573,before event,Argentina
87.476,before event,Netherlands
76.443,before event,Netherlands
55.883,after event,Argentina
46.247,after event,Netherlands
2.805,after event,Argentina
9.959,after event,Argentina
21.563,after event,Netherlands
194.707,after event,Netherlands
3.539,before event,Argentina
21.029,before event,Argentina
5.8629999999999995,before event,Croatia
44.694,before event,Croatia
71.573,before event,Croatia
1.603,before event,Argentina
2.56,after event,Croatia
25.088,after event,Argentina
23.31,after event,Argentina
30.552,after event,Argentina
2.841,before event,Argentina
70.413,before event,Croatia
1.8199999999999998,before event,Croatia
119.521,before event,Argentina
1.259,before event,Argentina
46.772,before event,Croatia
15.137,before event,Croatia
34.696,after event,Argentina
115.841,after event,Argentina
107.815,before event,France
70.805,before event,France
19.886,before event,France
47.062,before event,France
27.174,before event,Argentina
45.511,before event,Argentina
170.553,before event,Argentina
41.309,before event,France
118.779,before event,France
43.189,after event,Argentina
219.485,after event,France
39.537,before event,Argentina
16.143,before event,Argentina
527.305,before event,Argentina
5.024,before event,France
73.822,before event,France
1.5979999999999999,before event,France
109.698,before event,France
73.064,before event,France
22.046,before event,France
4.578,after event,France
71.313,after event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
73.064,before event,France
22.046,before event,France
4.578,before event,France
71.313,before event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
188.97,after event,Argentina
