time_to_recover,event_timing,team
81.203,before event,Denmark
46.318,before event,Denmark
11.415,before event,Denmark
49.304,before event,France
254.288,before event,Denmark
2.492,after event,Denmark
19.665,after event,Denmark
60.636,after event,Denmark
81.203,before event,Denmark
46.318,before event,Denmark
11.415,before event,Denmark
49.304,before event,France
254.288,before event,Denmark
2.492,after event,Denmark
19.665,after event,Denmark
60.636,after event,Denmark
126.282,before event,France
40.915,before event,France
53.421,before event,France
21.166,before event,France
294.755,before event,France
126.282,before event,France
40.915,before event,France
53.421,before event,France
21.166,before event,France
294.755,before event,France
