time_to_recover,event_timing,team
7.624,before event,France
46.217,before event,France
21.81,before event,France
53.487,before event,Tunisia
87.934,after event,France
167.148,after event,France
87.934,before event,France
167.148,before event,France
70.525,after event,France
91.398,after event,France
87.934,before event,France
167.148,before event,France
70.525,after event,France
91.398,after event,France
87.934,before event,France
167.148,before event,France
70.525,after event,France
91.398,after event,France
123.106,before event,France
34.615,before event,Tunisia
1.032,before event,Tunisia
40.398,before event,Tunisia
5.275,before event,Tunisia
9.884,before event,France
199.786,after event,Tunisia
9.896,after event,Tunisia
34.436,after event,Tunisia
4.101,after event,France
5.108,after event,France
187.128,after event,Tunisia
34.615,before event,Tunisia
1.032,before event,Tunisia
40.398,before event,Tunisia
5.275,before event,Tunisia
9.884,before event,France
199.786,before event,Tunisia
9.896,after event,Tunisia
34.436,after event,Tunisia
4.101,after event,France
5.108,after event,France
187.128,after event,Tunisia
9.896,before event,Tunisia
34.436,before event,Tunisia
4.101,before event,France
5.108,before event,France
187.128,before event,Tunisia
101.068,after event,Tunisia
20.672,after event,Tunisia
62.949,after event,Tunisia
101.068,before event,Tunisia
20.672,before event,Tunisia
62.949,before event,Tunisia
125.579,after event,Tunisia
138.846,after event,Tunisia
299.167,after event,Tunisia
