time_to_recover,event_timing,team
40.885,before event,Australia
12.932,after event,France
36.653,after event,France
77.966,after event,France
35.374,before event,France
1.036,before event,France
47.353,before event,Australia
55.48,before event,Australia
53.732,before event,Australia
131.533,after event,France
131.533,before event,France
3.274,after event,Australia
24.064,after event,Australia
148.071,after event,France
15.153,after event,France
6.499,after event,France
15.153,before event,France
6.499,before event,France
45.547,after event,Australia
173.794,after event,Australia
