time_to_recover,event_timing,team
214.494,before event,France
72.578,after event,France
65.077,after event,Morocco
10.956,after event,Morocco
82.102,after event,France
42.638,after event,France
6.32,after event,France
87.936,after event,France
1.254,after event,France
152.259,after event,France
12.671,after event,France
4.912,after event,Morocco
34.609,before event,Morocco
35.394,before event,Morocco
120.823,before event,Morocco
80.577,before event,Morocco
113.94,after event,Morocco
6.247,after event,France
87.288,after event,Morocco
31.817,after event,France
7.913,after event,France
217.207,after event,Morocco
99.226,before event,Morocco
7.451,before event,Morocco
106.918,before event,Morocco
7.774,before event,Morocco
11.784,after event,France
17.815,after event,France
14.816,after event,Morocco
148.505,after event,Morocco
