time_to_recover,event_timing,team
107.815,before event,France
70.805,before event,France
19.886,before event,France
47.062,before event,France
27.174,before event,Argentina
45.511,before event,Argentina
170.553,before event,Argentina
41.309,before event,France
118.779,before event,France
43.189,after event,Argentina
219.485,after event,France
39.537,before event,Argentina
16.143,before event,Argentina
527.305,before event,Argentina
5.024,before event,France
73.822,before event,France
1.5979999999999999,before event,France
109.698,before event,France
73.064,before event,France
22.046,before event,France
4.578,after event,France
71.313,after event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
73.064,before event,France
22.046,before event,France
4.578,before event,France
71.313,before event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
188.97,after event,Argentina
