time_to_recover,event_timing,team
80.583,before event,Denmark
10.116,before event,Denmark
4.345,before event,France
62.437,after event,Denmark
55.697,after event,Denmark
43.919,after event,France
62.437,before event,Denmark
55.697,before event,Denmark
43.919,before event,France
68.434,before event,Denmark
258.463,after event,France
294.755,before event,France
173.909,after event,Denmark
228.204,after event,Denmark
40.885,before event,Australia
12.932,after event,France
36.653,after event,France
77.966,after event,France
35.374,before event,France
1.036,before event,France
47.353,before event,Australia
55.48,before event,Australia
53.732,before event,Australia
131.533,after event,France
131.533,before event,France
3.274,after event,Australia
24.064,after event,Australia
148.071,after event,France
15.153,after event,France
6.499,after event,France
15.153,before event,France
6.499,before event,France
45.547,after event,Australia
173.794,after event,Australia
48.224,before event,France
38.726,before event,Tunisia
7.624,before event,France
46.217,before event,France
21.81,before event,France
53.487,before event,Tunisia
87.934,after event,France
167.148,after event,France
3.741,before event,France
68.153,before event,France
40.756,after event,France
21.99,before event,France
127.966,before event,France
18.327,before event,Poland
46.833,before event,Poland
3.261,after event,France
99.911,after event,France
84.835,after event,France
4.152,after event,Poland
8.105,after event,France
112.835,after event,France
140.129,before event,France
108.447,before event,France
40.924,after event,England
353.164,after event,France
75.358,after event,France
253.45,after event,France
36.008,before event,England
2.018,before event,England
117.635,before event,France
8.413,after event,England
27.393,after event,England
330.881,after event,France
29.302,before event,Morocco
44.144,before event,Morocco
88.807,before event,Morocco
63.389,before event,France
3.472,before event,France
6.407,after event,Morocco
71.926,after event,Morocco
5.552,after event,Morocco
37.178,after event,Morocco
59.06,after event,Morocco
39.902,after event,Morocco
7.451,before event,Morocco
106.918,before event,Morocco
7.774,before event,Morocco
11.784,before event,France
17.815,before event,France
14.816,after event,Morocco
148.505,after event,Morocco
270.39,after event,France
51.417,before event,Argentina
32.079,before event,Argentina
57.921,after event,France
36.827,after event,France
2.135,after event,France
79.657,after event,Argentina
498.005,after event,France
11.971,after event,France
8.102,after event,Argentina
76.814,after event,France
97.604,after event,Argentina
139.563,after event,France
4.732,before event,France
39.69,before event,France
18.486,before event,France
62.954,before event,France
30.983,before event,France
34.128,before event,France
42.099,after event,Argentina
39.537,after event,Argentina
16.143,after event,Argentina
527.305,after event,Argentina
62.954,before event,France
30.983,before event,France
34.128,before event,France
42.099,before event,Argentina
39.537,after event,Argentina
16.143,after event,Argentina
527.305,after event,Argentina
8.412,before event,Argentina
28.955,before event,Argentina
4.663,before event,Argentina
109.698,after event,France
73.064,after event,France
22.046,before event,France
4.578,before event,France
71.313,before event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
188.97,after event,Argentina
60.442,after event,Argentina
