time_to_recover,event_timing,team
81.203,before event,Denmark
46.318,before event,Denmark
11.415,before event,Denmark
49.304,before event,France
254.288,before event,Denmark
2.492,after event,Denmark
19.665,after event,Denmark
60.636,after event,Denmark
81.203,before event,Denmark
46.318,before event,Denmark
11.415,before event,Denmark
49.304,before event,France
254.288,before event,Denmark
2.492,after event,Denmark
19.665,after event,Denmark
60.636,after event,Denmark
126.282,before event,France
40.915,before event,France
53.421,before event,France
21.166,before event,France
294.755,before event,France
126.282,before event,France
40.915,before event,France
53.421,before event,France
21.166,before event,France
294.755,before event,France
40.885,before event,Australia
12.932,after event,France
36.653,after event,France
77.966,after event,France
40.885,before event,Australia
12.932,after event,France
36.653,after event,France
77.966,after event,France
1.708,before event,France
386.82,before event,Australia
15.153,after event,France
75.458,before event,France
4.646,before event,France
48.293,after event,France
51.192,after event,France
87.618,after event,Tunisia
14.997,after event,Tunisia
18.486,after event,Tunisia
221.978,after event,France
53.487,before event,Tunisia
87.934,before event,France
167.148,before event,France
70.525,after event,France
53.487,before event,Tunisia
87.934,before event,France
167.148,before event,France
70.525,after event,France
70.525,before event,France
91.398,before event,France
123.106,after event,France
34.615,after event,Tunisia
1.032,after event,Tunisia
40.398,after event,Tunisia
5.275,after event,Tunisia
9.884,after event,France
20.672,before event,Tunisia
62.949,before event,Tunisia
125.579,before event,Tunisia
138.846,before event,Tunisia
299.167,after event,Tunisia
71.266,before event,Tunisia
9.718,before event,France
13.891,before event,France
58.864,after event,England
7.1370000000000005,after event,England
108.562,after event,England
140.201,after event,France
335.514,before event,England
335.514,before event,England
240.616,before event,England
62.694,after event,England
158.515,after event,France
59.994,before event,England
88.023,before event,England
5.34,before event,England
236.893,before event,England
1.354,after event,England
59.994,before event,England
88.023,before event,England
5.34,before event,England
236.893,before event,England
1.354,after event,England
6.32,before event,France
87.936,before event,France
1.254,before event,France
152.259,before event,France
12.671,after event,France
4.912,after event,Morocco
3.492,after event,Morocco
14.816,after event,Morocco
130.948,after event,France
1.254,before event,France
152.259,before event,France
12.671,before event,France
4.912,before event,Morocco
3.492,before event,Morocco
14.816,before event,Morocco
130.948,before event,France
15.133,after event,France
94.373,after event,France
33.488,after event,France
60.59,after event,France
29.127,before event,France
36.342,before event,France
31.037,before event,France
83.664,before event,Argentina
242.977,before event,Argentina
42.899,after event,Argentina
153.697,after event,Argentina
31.037,before event,France
83.664,before event,Argentina
242.977,before event,Argentina
42.899,after event,Argentina
153.697,after event,Argentina
57.921,before event,France
36.827,before event,France
2.135,before event,France
79.657,before event,Argentina
498.005,before event,France
57.921,before event,France
36.827,before event,France
2.135,before event,France
79.657,before event,Argentina
498.005,before event,France
170.553,before event,Argentina
41.309,before event,France
118.779,before event,France
43.189,after event,Argentina
219.485,after event,France
41.309,before event,France
118.779,before event,France
43.189,before event,Argentina
219.485,before event,France
107.476,after event,Argentina
109.417,after event,Argentina
39.537,before event,Argentina
16.143,before event,Argentina
527.305,before event,Argentina
39.537,before event,Argentina
16.143,before event,Argentina
527.305,before event,Argentina
172.292,after event,Argentina
1.888,before event,France
75.676,before event,Argentina
5.204,before event,Argentina
215.058,before event,Argentina
11.789,after event,Argentina
32.988,after event,Argentina
49.61,after event,Argentina
49.575,after event,France
78.338,after event,France
