time_to_recover,event_timing,team
21.166,before event,France
294.755,before event,France
173.909,after event,Denmark
228.204,before event,Denmark
21.886,after event,Denmark
145.561,after event,Denmark
15.153,before event,France
6.499,before event,France
45.547,after event,Australia
173.794,after event,Australia
2.737,after event,Australia
83.888,after event,France
42.27,before event,France
251.923,before event,Australia
33.272,after event,France
42.913,after event,France
13.064,after event,France
3.5460000000000003,after event,France
134.454,after event,Australia
87.934,before event,France
167.148,before event,France
70.525,after event,France
91.398,after event,France
123.106,after event,France
34.615,before event,Tunisia
1.032,before event,Tunisia
40.398,before event,Tunisia
5.275,before event,Tunisia
9.884,before event,France
199.786,before event,Tunisia
9.896,after event,Tunisia
34.436,after event,Tunisia
4.101,after event,France
5.108,after event,France
187.128,after event,Tunisia
101.068,before event,Tunisia
20.672,before event,Tunisia
62.949,before event,Tunisia
125.579,before event,Tunisia
138.846,after event,Tunisia
299.167,after event,Tunisia
138.846,before event,Tunisia
299.167,before event,Tunisia
133.116,after event,Tunisia
6.364,before event,France
148.048,before event,France
1.286,before event,France
23.329,after event,Poland
102.41,after event,Poland
80.091,after event,Poland
66.135,after event,Poland
18.327,before event,Poland
46.833,before event,Poland
3.261,after event,France
99.911,after event,France
84.835,after event,France
139.776,after event,Poland
88.023,before event,England
5.34,before event,England
236.893,before event,England
1.354,after event,England
214.494,before event,France
72.578,after event,France
65.077,after event,Morocco
10.956,after event,Morocco
82.102,after event,France
42.638,after event,France
6.32,after event,France
87.936,after event,France
1.254,after event,France
152.259,after event,France
12.671,after event,France
4.912,after event,Morocco
34.609,before event,Morocco
35.394,before event,Morocco
120.823,before event,Morocco
80.577,before event,Morocco
113.94,after event,Morocco
6.247,after event,France
87.288,after event,Morocco
31.817,after event,France
7.913,after event,France
217.207,after event,Morocco
99.226,before event,Morocco
7.451,before event,Morocco
106.918,before event,Morocco
7.774,before event,Morocco
11.784,after event,France
17.815,after event,France
14.816,after event,Morocco
148.505,after event,Morocco
11.971,before event,France
8.102,before event,Argentina
76.814,before event,France
97.604,before event,Argentina
139.563,before event,France
45.645,after event,France
49.39,after event,France
145.7,after event,Argentina
107.476,before event,Argentina
109.417,before event,Argentina
16.378,after event,Argentina
92.541,after event,Argentina
2.614,after event,Argentina
140.436,after event,Argentina
18.454,after event,Argentina
15.307,after event,Argentina
18.454,before event,Argentina
15.307,before event,Argentina
233.272,before event,Argentina
1.675,after event,Argentina
67.145,after event,France
26.69,after event,France
4.732,after event,France
39.69,after event,France
18.486,after event,France
62.954,after event,France
30.983,after event,France
34.128,after event,France
233.272,before event,Argentina
1.675,before event,Argentina
67.145,before event,France
26.69,after event,France
4.732,after event,France
39.69,after event,France
18.486,after event,France
62.954,after event,France
30.983,after event,France
34.128,after event,France
11.789,before event,Argentina
32.988,before event,Argentina
49.61,before event,Argentina
49.575,before event,France
78.338,before event,France
4.52,after event,Argentina
84.061,after event,Argentina
73.064,before event,France
22.046,before event,France
4.578,before event,France
71.313,before event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
188.97,after event,Argentina
7.415,before event,Argentina
5.376,before event,France
7.401,before event,Argentina
188.97,before event,Argentina
60.442,after event,Argentina
4.336,after event,France
