time_to_recover,event_timing,team
75.088,before event,France
96.189,before event,France
81.203,after event,Denmark
46.318,after event,Denmark
11.415,after event,Denmark
49.304,after event,France
254.288,after event,Denmark
96.189,before event,France
81.203,before event,Denmark
46.318,before event,Denmark
11.415,before event,Denmark
49.304,before event,France
254.288,after event,Denmark
2.492,after event,Denmark
19.665,after event,Denmark
64.307,before event,France
9.635,before event,France
4.371,before event,France
9.37,before event,Denmark
162.991,before event,Denmark
307.111,after event,France
8.493,before event,Australia
47.898,before event,Australia
13.429,before event,Australia
13.611,before event,France
64.984,before event,Australia
314.456,after event,Australia
173.794,before event,Australia
2.737,before event,Australia
83.888,before event,France
2.111,before event,France
2.707,before event,France
58.441,after event,Australia
10.98,after event,Australia
65.167,after event,Australia
31.766,after event,Australia
207.389,after event,Australia
33.272,before event,France
42.913,before event,France
13.064,before event,France
3.5460000000000003,before event,France
134.454,after event,Australia
1.623,before event,France
295.176,before event,France
89.972,after event,Tunisia
79.955,after event,Tunisia
85.67,after event,France
4.115,after event,France
9.747,after event,France
86.076,after event,France
34.607,before event,France
356.672,before event,France
68.365,after event,France
195.327,before event,Poland
33.7,after event,France
25.881,after event,France
229.73,after event,France
87.342,before event,Poland
164.57,before event,France
4.152,after event,Poland
8.105,after event,France
112.835,after event,France
134.293,before event,England
177.756,before event,France
10.797,after event,France
335.514,after event,England
23.517,before event,England
12.846,before event,England
85.921,after event,France
41.229,after event,France
1.129,after event,France
166.315,after event,England
8.413,before event,England
27.393,before event,England
330.881,after event,France
1.414,before event,France
48.659,before event,England
82.229,before event,France
75.111,before event,France
55.41,after event,England
2.482,after event,England
3.965,after event,France
1.932,after event,France
71.306,after event,England
59.994,after event,England
88.023,after event,England
72.578,before event,France
65.077,before event,Morocco
10.956,before event,Morocco
82.102,before event,France
42.638,before event,France
2.08,before event,France
142.598,after event,Morocco
7.9350000000000005,after event,France
4.219,after event,France
52.939,after event,Morocco
77.508,after event,Morocco
54.144,after event,Morocco
107.815,before event,France
70.805,before event,France
19.886,before event,France
47.062,before event,France
27.174,before event,Argentina
45.511,before event,Argentina
170.553,before event,Argentina
41.309,before event,France
118.779,before event,France
43.189,after event,Argentina
219.485,after event,France
39.537,before event,Argentina
16.143,before event,Argentina
527.305,before event,Argentina
5.024,before event,France
73.822,before event,France
1.5979999999999999,before event,France
109.698,before event,France
73.064,before event,France
22.046,before event,France
4.578,after event,France
71.313,after event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
73.064,before event,France
22.046,before event,France
4.578,before event,France
71.313,before event,France
7.415,after event,Argentina
5.376,after event,France
7.401,after event,Argentina
188.97,after event,Argentina
