team,period,loss_time,recovery_time,time_to_recover
Australia,1,2025-06-20 00:00:09.615,2025-06-20 00:01:56.431,106.816
Australia,1,2025-06-20 00:01:56.431,2025-06-20 00:03:26.859,90.428
Australia,1,2025-06-20 00:03:27.721,2025-06-20 00:04:36.124,68.403
Australia,1,2025-06-20 00:04:36.790,2025-06-20 00:05:49.835,73.045
Australia,1,2025-06-20 00:05:49.835,2025-06-20 00:07:53.054,123.219
Australia,1,2025-06-20 00:07:53.054,2025-06-20 00:09:44.081,111.027
Argentina,1,2025-06-20 00:09:44.081,2025-06-20 00:10:39.155,55.074
Australia,1,2025-06-20 00:10:39.575,2025-06-20 00:11:45.122,65.547
Australia,1,2025-06-20 00:11:47.094,2025-06-20 00:15:30.911,223.817
Australia,1,2025-06-20 00:15:30.911,2025-06-20 00:18:02.348,151.437
Australia,1,2025-06-20 00:18:06.029,2025-06-20 00:18:49.884,43.855
Australia,1,2025-06-20 00:18:49.884,2025-06-20 00:19:26.930,37.046
Australia,1,2025-06-20 00:19:26.930,2025-06-20 00:19:42.789,15.859
Australia,1,2025-06-20 00:19:43.332,2025-06-20 00:23:40.630,237.298
Argentina,1,2025-06-20 00:24:01.457,2025-06-20 00:24:11.362,9.905
Australia,1,2025-06-20 00:25:06.922,2025-06-20 00:29:05.664,238.742
Australia,1,2025-06-20 00:29:05.664,2025-06-20 00:29:32.113,26.449
Australia,1,2025-06-20 00:29:32.113,2025-06-20 00:29:33.130,1.017
Australia,1,2025-06-20 00:29:35.530,2025-06-20 00:30:45.824,70.294
Argentina,1,2025-06-20 00:30:45.824,2025-06-20 00:32:09.619,83.795
Argentina,1,2025-06-20 00:32:09.619,2025-06-20 00:32:56.158,46.539
Argentina,1,2025-06-20 00:33:00.086,2025-06-20 00:33:27.951,27.865
Australia,1,2025-06-20 00:36:06.790,2025-06-20 00:38:18.332,131.542
Argentina,1,2025-06-20 00:38:18.332,2025-06-20 00:39:18.942,60.61
Argentina,1,2025-06-20 00:39:18.942,2025-06-20 00:39:55.830,36.888
Argentina,1,2025-06-20 00:39:57.520,2025-06-20 00:41:24.266,86.746
Argentina,1,2025-06-20 00:42:21.601,2025-06-20 00:45:32.656,191.055
Argentina,1,2025-06-20 00:45:32.656,2025-06-20 00:46:52.163,79.507
Argentina,2,2025-06-20 00:00:16.562,2025-06-20 00:01:26.831,70.269
Australia,2,2025-06-20 00:01:26.831,2025-06-20 00:02:19.841,53.01
Australia,2,2025-06-20 00:02:19.841,2025-06-20 00:05:55.296,215.455
Australia,2,2025-06-20 00:05:55.296,2025-06-20 00:06:52.299,57.003
Australia,2,2025-06-20 00:06:52.299,2025-06-20 00:07:03.565,11.266
Australia,2,2025-06-20 00:07:03.565,2025-06-20 00:07:05.759,2.194
Australia,2,2025-06-20 00:07:08.105,2025-06-20 00:11:18.853,250.748
Australia,2,2025-06-20 00:11:18.853,2025-06-20 00:11:29.367,10.514
Australia,2,2025-06-20 00:13:08.955,2025-06-20 00:16:27.403,198.448
Argentina,2,2025-06-20 00:16:28.391,2025-06-20 00:18:51.365,142.974
Australia,2,2025-06-20 00:18:52.555,2025-06-20 00:21:31.173,158.618
Argentina,2,2025-06-20 00:21:31.173,2025-06-20 00:28:12.580,401.407
Argentina,2,2025-06-20 00:28:12.580,2025-06-20 00:29:40.419,87.839
Australia,2,2025-06-20 00:29:40.419,2025-06-20 00:31:01.658,81.239
Australia,2,2025-06-20 00:31:07.333,2025-06-20 00:31:09.927,2.594
Argentina,2,2025-06-20 00:31:53.032,2025-06-20 00:31:55.014,1.982
Australia,2,2025-06-20 00:31:55.014,2025-06-20 00:32:30.402,35.388
Australia,2,2025-06-20 00:32:30.402,2025-06-20 00:33:01.726,31.324
Australia,2,2025-06-20 00:33:01.726,2025-06-20 00:34:57.745,116.019
Australia,2,2025-06-20 00:34:57.745,2025-06-20 00:35:40.958,43.213
Australia,2,2025-06-20 00:35:40.958,2025-06-20 00:36:38.650,57.692
Argentina,2,2025-06-20 00:36:39.457,2025-06-20 00:39:38.691,179.234
Argentina,2,2025-06-20 00:39:48.304,2025-06-20 00:40:47.428,59.124
Australia,2,2025-06-20 00:40:47.428,2025-06-20 00:46:34.558,347.13
Australia,2,2025-06-20 00:46:36.052,2025-06-20 00:47:04.037,27.985
Argentina,2,2025-06-20 00:47:29.659,2025-06-20 00:48:42.177,72.518
Argentina,2,2025-06-20 00:48:45.821,2025-06-20 00:49:00.692,14.871
Australia,2,2025-06-20 00:49:18.773,2025-06-20 00:49:28.508,9.735
Australia,2,2025-06-20 00:49:36.941,2025-06-20 00:49:41.097,4.156
Australia,2,2025-06-20 00:49:41.097,2025-06-20 00:50:44.378,63.281
Australia,2,2025-06-20 00:50:53.233,2025-06-20 00:50:57.930,4.697
Australia,2,2025-06-20 00:51:04.669,2025-06-20 00:51:10.464,5.795
Australia,2,2025-06-20 00:51:12.924,2025-06-20 00:51:26.203,13.279
