team,period,loss_time,recovery_time,time_to_recover
Croatia,1,2025-06-20 00:00:03.885,2025-06-20 00:02:30.702,146.817
Croatia,1,2025-06-20 00:02:30.702,2025-06-20 00:05:53.499,202.797
Croatia,1,2025-06-20 00:05:53.499,2025-06-20 00:07:39.873,106.374
Croatia,1,2025-06-20 00:08:04.369,2025-06-20 00:08:06.246,1.877
Croatia,1,2025-06-20 00:08:06.246,2025-06-20 00:09:56.992,110.746
Croatia,1,2025-06-20 00:09:56.992,2025-06-20 00:11:57.692,120.7
Croatia,1,2025-06-20 00:11:57.692,2025-06-20 00:13:11.605,73.913
Croatia,1,2025-06-20 00:13:50.630,2025-06-20 00:15:12.512,81.882
Croatia,1,2025-06-20 00:15:12.512,2025-06-20 00:16:57.206,104.694
Croatia,1,2025-06-20 00:16:57.206,2025-06-20 00:17:11.975,14.769
Argentina,1,2025-06-20 00:17:49.065,2025-06-20 00:21:31.811,222.746
Argentina,1,2025-06-20 00:21:39.701,2025-06-20 00:21:56.985,17.284
Argentina,1,2025-06-20 00:21:56.985,2025-06-20 00:24:42.555,165.57
Argentina,1,2025-06-20 00:25:00.700,2025-06-20 00:25:08.006,7.306
Argentina,1,2025-06-20 00:25:28.784,2025-06-20 00:27:21.155,112.371
Argentina,1,2025-06-20 00:27:21.155,2025-06-20 00:27:24.694,3.539
Argentina,1,2025-06-20 00:27:32.599,2025-06-20 00:27:53.628,21.029
Croatia,1,2025-06-20 00:28:57.263,2025-06-20 00:29:03.126,5.8629999999999995
Croatia,1,2025-06-20 00:29:03.126,2025-06-20 00:29:47.820,44.694
Croatia,1,2025-06-20 00:29:53.298,2025-06-20 00:31:04.871,71.573
Argentina,1,2025-06-20 00:31:09.246,2025-06-20 00:31:10.849,1.603
Croatia,1,2025-06-20 00:35:10.547,2025-06-20 00:35:13.107,2.56
Argentina,1,2025-06-20 00:35:13.107,2025-06-20 00:35:38.195,25.088
Argentina,1,2025-06-20 00:35:38.195,2025-06-20 00:36:01.505,23.31
Argentina,1,2025-06-20 00:36:01.505,2025-06-20 00:36:32.057,30.552
Croatia,1,2025-06-20 00:37:17.097,2025-06-20 00:37:19.916,2.819
Croatia,1,2025-06-20 00:37:19.916,2025-06-20 00:37:21.226,1.31
Argentina,1,2025-06-20 00:37:21.226,2025-06-20 00:38:18.691,57.465
Argentina,1,2025-06-20 00:38:24.570,2025-06-20 00:38:25.748,1.178
Croatia,1,2025-06-20 00:39:53.771,2025-06-20 00:40:00.740,6.969
Croatia,1,2025-06-20 00:40:00.740,2025-06-20 00:44:53.642,292.902
Argentina,1,2025-06-20 00:45:37.224,2025-06-20 00:46:16.248,39.024
Argentina,1,2025-06-20 00:46:20.573,2025-06-20 00:46:31.995,11.422
Argentina,1,2025-06-20 00:46:31.995,2025-06-20 00:46:36.318,4.323
Croatia,1,2025-06-20 00:46:38.480,2025-06-20 00:48:43.883,125.403
Argentina,1,2025-06-20 00:48:58.438,2025-06-20 00:49:03.813,5.375
Argentina,1,2025-06-20 00:49:03.813,2025-06-20 00:49:07.028,3.215
Argentina,2,2025-06-20 00:00:07.890,2025-06-20 00:02:48.018,160.128
Argentina,2,2025-06-20 00:03:00.184,2025-06-20 00:03:16.657,16.473
Argentina,2,2025-06-20 00:03:16.657,2025-06-20 00:03:21.137,4.48
