team,period,loss_time,recovery_time,time_to_recover
Argentina,1,2025-06-20 00:00:17.546,2025-06-20 00:00:19.005,1.459
France,1,2025-06-20 00:00:19.005,2025-06-20 00:01:30.410,71.405
France,1,2025-06-20 00:01:30.410,2025-06-20 00:01:36.620,6.21
Argentina,1,2025-06-20 00:01:36.620,2025-06-20 00:02:24.765,48.145
Argentina,1,2025-06-20 00:03:07.715,2025-06-20 00:03:13.610,5.895
France,1,2025-06-20 00:03:13.610,2025-06-20 00:03:50.012,36.402
France,1,2025-06-20 00:03:50.012,2025-06-20 00:04:19.139,29.127
France,1,2025-06-20 00:04:19.139,2025-06-20 00:04:55.481,36.342
France,1,2025-06-20 00:05:13.746,2025-06-20 00:05:44.783,31.037
Argentina,1,2025-06-20 00:05:44.783,2025-06-20 00:07:08.447,83.664
Argentina,1,2025-06-20 00:07:13.453,2025-06-20 00:11:16.430,242.977
Argentina,1,2025-06-20 00:11:16.885,2025-06-20 00:11:59.784,42.899
Argentina,1,2025-06-20 00:12:02.339,2025-06-20 00:14:36.036,153.697
Argentina,1,2025-06-20 00:14:43.481,2025-06-20 00:16:08.427,84.946
Argentina,1,2025-06-20 00:16:08.427,2025-06-20 00:16:10.569,2.142
France,1,2025-06-20 00:16:50.313,2025-06-20 00:16:56.569,6.256
France,1,2025-06-20 00:17:22.381,2025-06-20 00:18:11.808,49.427
Argentina,1,2025-06-20 00:18:11.808,2025-06-20 00:19:03.225,51.417
Argentina,1,2025-06-20 00:20:21.630,2025-06-20 00:20:53.709,32.079
France,1,2025-06-20 00:23:55.571,2025-06-20 00:24:53.492,57.921
France,1,2025-06-20 00:24:53.492,2025-06-20 00:25:30.319,36.827
France,1,2025-06-20 00:25:30.319,2025-06-20 00:25:32.454,2.135
Argentina,1,2025-06-20 00:25:32.454,2025-06-20 00:26:52.111,79.657
France,1,2025-06-20 00:26:52.111,2025-06-20 00:35:10.116,498.005
France,1,2025-06-20 00:36:57.106,2025-06-20 00:37:09.077,11.971
Argentina,1,2025-06-20 00:37:09.077,2025-06-20 00:37:17.179,8.102
France,1,2025-06-20 00:37:17.179,2025-06-20 00:38:33.993,76.814
Argentina,1,2025-06-20 00:38:33.993,2025-06-20 00:40:11.597,97.604
France,1,2025-06-20 00:40:11.597,2025-06-20 00:42:31.160,139.563
France,1,2025-06-20 00:42:33.391,2025-06-20 00:43:19.036,45.645
France,1,2025-06-20 00:43:19.036,2025-06-20 00:44:08.426,49.39
Argentina,1,2025-06-20 00:44:08.426,2025-06-20 00:46:34.126,145.7
France,1,2025-06-20 00:46:34.126,2025-06-20 00:48:21.941,107.815
France,1,2025-06-20 00:49:01.655,2025-06-20 00:50:12.460,70.805
France,1,2025-06-20 00:50:12.460,2025-06-20 00:50:32.346,19.886
France,1,2025-06-20 00:50:33.996,2025-06-20 00:51:21.058,47.062
Argentina,2,2025-06-20 00:00:09.803,2025-06-20 00:00:29.932,20.129
Argentina,2,2025-06-20 00:00:29.932,2025-06-20 00:03:26.050,176.118
Argentina,2,2025-06-20 00:03:26.050,2025-06-20 00:03:33.077,7.027
Argentina,2,2025-06-20 00:03:33.077,2025-06-20 00:03:35.850,2.773
Argentina,2,2025-06-20 00:03:35.850,2025-06-20 00:03:41.847,5.997
Argentina,2,2025-06-20 00:03:41.847,2025-06-20 00:04:11.366,29.519
Argentina,2,2025-06-20 00:04:11.366,2025-06-20 00:04:14.632,3.266
Argentina,2,2025-06-20 00:04:14.632,2025-06-20 00:04:41.806,27.174
Argentina,2,2025-06-20 00:04:41.806,2025-06-20 00:05:27.317,45.511
Argentina,2,2025-06-20 00:05:27.317,2025-06-20 00:08:17.870,170.553
France,2,2025-06-20 00:08:18.348,2025-06-20 00:08:59.657,41.309
France,2,2025-06-20 00:09:04.376,2025-06-20 00:11:03.155,118.779
Argentina,2,2025-06-20 00:11:03.155,2025-06-20 00:11:46.344,43.189
France,2,2025-06-20 00:11:48.402,2025-06-20 00:15:27.887,219.485
Argentina,2,2025-06-20 00:15:27.887,2025-06-20 00:17:15.363,107.476
Argentina,2,2025-06-20 00:17:23.189,2025-06-20 00:19:12.606,109.417
Argentina,2,2025-06-20 00:19:17.305,2025-06-20 00:19:33.683,16.378
Argentina,2,2025-06-20 00:19:40.734,2025-06-20 00:21:13.275,92.541
Argentina,2,2025-06-20 00:21:13.275,2025-06-20 00:21:15.889,2.614
Argentina,2,2025-06-20 00:21:15.889,2025-06-20 00:23:36.325,140.436
Argentina,2,2025-06-20 00:23:40.807,2025-06-20 00:23:59.261,18.454
Argentina,2,2025-06-20 00:23:59.261,2025-06-20 00:24:14.568,15.307
Argentina,2,2025-06-20 00:24:14.568,2025-06-20 00:28:07.840,233.272
Argentina,2,2025-06-20 00:28:07.840,2025-06-20 00:28:09.515,1.675
France,2,2025-06-20 00:28:09.515,2025-06-20 00:29:16.660,67.145
France,2,2025-06-20 00:29:16.660,2025-06-20 00:29:43.350,26.69
France,2,2025-06-20 00:29:43.350,2025-06-20 00:29:48.082,4.732
France,2,2025-06-20 00:29:48.082,2025-06-20 00:30:27.772,39.69
France,2,2025-06-20 00:30:27.772,2025-06-20 00:30:46.258,18.486
France,2,2025-06-20 00:31:00.621,2025-06-20 00:32:03.575,62.954
France,2,2025-06-20 00:32:07.999,2025-06-20 00:32:38.982,30.983
France,2,2025-06-20 00:32:39.189,2025-06-20 00:33:13.317,34.128
Argentina,2,2025-06-20 00:34:58.620,2025-06-20 00:35:40.719,42.099
Argentina,2,2025-06-20 00:37:33.497,2025-06-20 00:38:13.034,39.537
Argentina,2,2025-06-20 00:38:16.287,2025-06-20 00:38:32.430,16.143
Argentina,2,2025-06-20 00:38:32.430,2025-06-20 00:47:19.735,527.305
Argentina,2,2025-06-20 00:47:19.735,2025-06-20 00:50:12.027,172.292
France,2,2025-06-20 00:50:43.569,2025-06-20 00:50:48.593,5.024
France,2,2025-06-20 00:51:18.160,2025-06-20 00:52:31.982,73.822
France,2,2025-06-20 00:52:31.982,2025-06-20 00:52:33.580,1.5979999999999999
France,3,2025-06-20 00:00:14.903,2025-06-20 00:02:50.647,155.744
France,3,2025-06-20 00:02:50.647,2025-06-20 00:02:52.535,1.888
Argentina,3,2025-06-20 00:02:52.535,2025-06-20 00:04:08.211,75.676
Argentina,3,2025-06-20 00:04:10.266,2025-06-20 00:04:15.470,5.204
Argentina,3,2025-06-20 00:04:20.865,2025-06-20 00:07:55.923,215.058
Argentina,3,2025-06-20 00:08:23.517,2025-06-20 00:08:35.306,11.789
Argentina,3,2025-06-20 00:08:35.306,2025-06-20 00:09:08.294,32.988
Argentina,3,2025-06-20 00:09:08.294,2025-06-20 00:09:57.904,49.61
France,3,2025-06-20 00:10:20.265,2025-06-20 00:11:09.840,49.575
France,3,2025-06-20 00:11:12.100,2025-06-20 00:12:30.438,78.338
Argentina,3,2025-06-20 00:13:01.740,2025-06-20 00:13:06.260,4.52
Argentina,3,2025-06-20 00:13:06.260,2025-06-20 00:14:30.321,84.061
Argentina,4,2025-06-20 00:00:20.954,2025-06-20 00:00:29.366,8.412
Argentina,4,2025-06-20 00:01:30.419,2025-06-20 00:01:59.374,28.955
Argentina,4,2025-06-20 00:02:41.047,2025-06-20 00:02:45.710,4.663
France,4,2025-06-20 00:05:02.303,2025-06-20 00:06:52.001,109.698
France,4,2025-06-20 00:06:52.001,2025-06-20 00:08:05.065,73.064
France,4,2025-06-20 00:08:05.065,2025-06-20 00:08:27.111,22.046
France,4,2025-06-20 00:09:17.251,2025-06-20 00:09:21.829,4.578
France,4,2025-06-20 00:09:26.531,2025-06-20 00:10:37.844,71.313
Argentina,4,2025-06-20 00:13:03.064,2025-06-20 00:13:10.479,7.415
France,4,2025-06-20 00:13:11.839,2025-06-20 00:13:17.215,5.376
Argentina,4,2025-06-20 00:13:21.746,2025-06-20 00:13:29.147,7.401
Argentina,4,2025-06-20 00:13:37.126,2025-06-20 00:16:46.096,188.97
Argentina,4,2025-06-20 00:16:46.096,2025-06-20 00:17:46.538,60.442
France,4,2025-06-20 00:18:36.389,2025-06-20 00:18:40.725,4.336
