team,period,loss_time,recovery_time,time_to_recover
Argentina,1,2025-06-20 00:00:30.868,2025-06-20 00:01:03.795,32.927
Mexico,1,2025-06-20 00:01:03.795,2025-06-20 00:04:15.003,191.208
Mexico,1,2025-06-20 00:04:15.003,2025-06-20 00:07:04.403,169.4
Mexico,1,2025-06-20 00:07:04.403,2025-06-20 00:08:07.946,63.543
Mexico,1,2025-06-20 00:08:07.946,2025-06-20 00:08:23.896,15.95
Argentina,1,2025-06-20 00:08:23.896,2025-06-20 00:10:15.706,111.81
Mexico,1,2025-06-20 00:10:15.706,2025-06-20 00:11:35.270,79.564
Mexico,1,2025-06-20 00:11:37.087,2025-06-20 00:12:33.592,56.505
Mexico,1,2025-06-20 00:12:41.445,2025-06-20 00:14:14.087,92.642
Mexico,1,2025-06-20 00:14:14.087,2025-06-20 00:15:21.467,67.38
Mexico,1,2025-06-20 00:15:21.467,2025-06-20 00:18:26.258,184.791
Mexico,1,2025-06-20 00:19:02.671,2025-06-20 00:19:11.230,8.559
Argentina,1,2025-06-20 00:19:11.230,2025-06-20 00:21:23.198,131.968
Argentina,1,2025-06-20 00:21:24.328,2025-06-20 00:21:29.500,5.172
Mexico,1,2025-06-20 00:21:29.500,2025-06-20 00:22:53.717,84.217
Mexico,1,2025-06-20 00:22:53.717,2025-06-20 00:26:27.398,213.681
Mexico,1,2025-06-20 00:26:27.398,2025-06-20 00:27:11.527,44.129
Argentina,1,2025-06-20 00:27:11.527,2025-06-20 00:30:19.941,188.414
Mexico,1,2025-06-20 00:30:24.705,2025-06-20 00:31:38.017,73.312
Mexico,1,2025-06-20 00:31:38.017,2025-06-20 00:33:51.280,133.263
Argentina,1,2025-06-20 00:33:51.280,2025-06-20 00:34:59.052,67.772
Mexico,1,2025-06-20 00:34:59.052,2025-06-20 00:36:01.195,62.143
Mexico,1,2025-06-20 00:36:01.195,2025-06-20 00:37:05.037,63.842
Mexico,1,2025-06-20 00:37:07.573,2025-06-20 00:42:12.956,305.383
Mexico,1,2025-06-20 00:42:12.956,2025-06-20 00:42:32.218,19.262
Mexico,1,2025-06-20 00:42:32.218,2025-06-20 00:42:35.112,2.894
Argentina,1,2025-06-20 00:42:35.312,2025-06-20 00:48:10.357,335.045
Argentina,1,2025-06-20 00:48:10.357,2025-06-20 00:49:40.473,90.116
Argentina,2,2025-06-20 00:00:07.529,2025-06-20 00:00:45.815,38.286
Mexico,2,2025-06-20 00:00:45.815,2025-06-20 00:02:07.608,81.793
Mexico,2,2025-06-20 00:02:23.705,2025-06-20 00:02:52.026,28.321
Mexico,2,2025-06-20 00:02:53.368,2025-06-20 00:03:35.514,42.146
Mexico,2,2025-06-20 00:03:35.514,2025-06-20 00:06:39.462,183.948
Argentina,2,2025-06-20 00:07:56.870,2025-06-20 00:10:45.093,168.223
Mexico,2,2025-06-20 00:10:45.093,2025-06-20 00:13:15.620,150.527
Mexico,2,2025-06-20 00:13:15.620,2025-06-20 00:13:24.898,9.278
Argentina,2,2025-06-20 00:13:24.898,2025-06-20 00:14:16.038,51.14
