team,period,loss_time,recovery_time,time_to_recover
Netherlands,1,2025-06-20 00:00:06.629,2025-06-20 00:00:38.843,32.214
Netherlands,1,2025-06-20 00:00:38.843,2025-06-20 00:00:44.714,5.871
Argentina,1,2025-06-20 00:01:22.764,2025-06-20 00:02:11.122,48.358
Argentina,1,2025-06-20 00:02:25.710,2025-06-20 00:04:33.406,127.696
Argentina,1,2025-06-20 00:04:53.120,2025-06-20 00:09:54.779,301.659
Argentina,1,2025-06-20 00:09:54.779,2025-06-20 00:11:49.469,114.69
Netherlands,1,2025-06-20 00:11:49.469,2025-06-20 00:12:09.567,20.098
Netherlands,1,2025-06-20 00:12:09.567,2025-06-20 00:12:44.775,35.208
Netherlands,1,2025-06-20 00:12:48.688,2025-06-20 00:12:54.329,5.641
Argentina,1,2025-06-20 00:12:54.917,2025-06-20 00:16:24.483,209.566
Argentina,1,2025-06-20 00:16:24.483,2025-06-20 00:17:34.341,69.858
Argentina,1,2025-06-20 00:17:34.341,2025-06-20 00:18:33.402,59.061
Netherlands,1,2025-06-20 00:18:33.402,2025-06-20 00:20:43.483,130.081
Netherlands,1,2025-06-20 00:20:46.586,2025-06-20 00:20:55.245,8.659
Netherlands,1,2025-06-20 00:20:55.245,2025-06-20 00:21:18.271,23.026
Netherlands,1,2025-06-20 00:21:18.271,2025-06-20 00:23:24.259,125.988
Netherlands,1,2025-06-20 00:23:24.259,2025-06-20 00:23:27.272,3.013
Netherlands,1,2025-06-20 00:23:41.884,2025-06-20 00:25:17.483,95.599
Netherlands,1,2025-06-20 00:25:17.483,2025-06-20 00:31:28.145,370.662
Netherlands,1,2025-06-20 00:31:28.145,2025-06-20 00:31:34.084,5.939
Netherlands,1,2025-06-20 00:31:34.084,2025-06-20 00:31:44.750,10.666
Argentina,1,2025-06-20 00:31:44.750,2025-06-20 00:33:48.197,123.447
Argentina,1,2025-06-20 00:36:42.810,2025-06-20 00:37:44.160,61.35
Argentina,1,2025-06-20 00:37:50.516,2025-06-20 00:39:01.958,71.442
Argentina,1,2025-06-20 00:39:01.958,2025-06-20 00:39:03.425,1.467
Argentina,1,2025-06-20 00:39:06.822,2025-06-20 00:40:40.218,93.396
Netherlands,1,2025-06-20 00:40:40.218,2025-06-20 00:41:27.733,47.515
Netherlands,1,2025-06-20 00:41:36.828,2025-06-20 00:41:56.008,19.18
Netherlands,1,2025-06-20 00:42:06.738,2025-06-20 00:42:21.312,14.574
Argentina,1,2025-06-20 00:42:21.312,2025-06-20 00:45:06.548,165.236
Argentina,1,2025-06-20 00:45:38.943,2025-06-20 00:46:27.151,48.208
Argentina,1,2025-06-20 00:46:27.151,2025-06-20 00:47:28.736,61.585
Argentina,1,2025-06-20 00:47:42.157,2025-06-20 00:47:56.118,13.961
Netherlands,1,2025-06-20 00:47:56.118,2025-06-20 00:49:20.045,83.927
Argentina,2,2025-06-20 00:00:08.187,2025-06-20 00:00:18.612,10.425
Argentina,2,2025-06-20 00:00:35.190,2025-06-20 00:00:43.777,8.587
Netherlands,2,2025-06-20 00:00:43.777,2025-06-20 00:03:14.623,150.846
Argentina,2,2025-06-20 00:03:14.623,2025-06-20 00:04:39.074,84.451
Argentina,2,2025-06-20 00:04:39.074,2025-06-20 00:05:18.234,39.16
Argentina,2,2025-06-20 00:05:18.234,2025-06-20 00:05:46.279,28.045
Argentina,2,2025-06-20 00:05:50.002,2025-06-20 00:06:39.278,49.276
Argentina,2,2025-06-20 00:06:39.548,2025-06-20 00:06:45.551,6.003
Argentina,2,2025-06-20 00:06:45.551,2025-06-20 00:08:13.856,88.305
Netherlands,2,2025-06-20 00:08:28.069,2025-06-20 00:09:16.758,48.689
Netherlands,2,2025-06-20 00:09:16.758,2025-06-20 00:10:38.608,81.85
Netherlands,2,2025-06-20 00:10:55.000,2025-06-20 00:11:03.875,8.875
Netherlands,2,2025-06-20 00:11:03.875,2025-06-20 00:11:15.910,12.035
Argentina,2,2025-06-20 00:11:16.493,2025-06-20 00:12:07.827,51.334
Argentina,2,2025-06-20 00:12:07.827,2025-06-20 00:13:51.824,103.997
Argentina,2,2025-06-20 00:13:51.824,2025-06-20 00:15:40.278,108.454
Argentina,2,2025-06-20 00:15:47.499,2025-06-20 00:15:51.585,4.086
Netherlands,2,2025-06-20 00:15:51.585,2025-06-20 00:18:00.777,129.192
Netherlands,2,2025-06-20 00:18:00.777,2025-06-20 00:19:57.723,116.946
Netherlands,2,2025-06-20 00:19:57.723,2025-06-20 00:20:04.550,6.827
Netherlands,2,2025-06-20 00:20:04.550,2025-06-20 00:20:23.078,18.528
