team,period,loss_time,recovery_time,time_to_recover
Argentina,1,2025-06-20 00:00:19.698,2025-06-20 00:00:22.135,2.437
Argentina,1,2025-06-20 00:00:22.135,2025-06-20 00:01:54.718,92.583
Argentina,1,2025-06-20 00:02:01.223,2025-06-20 00:03:24.993,83.77
Argentina,1,2025-06-20 00:03:29.547,2025-06-20 00:04:07.033,37.486
Poland,1,2025-06-20 00:04:07.033,2025-06-20 00:05:21.252,74.219
Poland,1,2025-06-20 00:05:21.252,2025-06-20 00:06:55.561,94.309
Argentina,1,2025-06-20 00:06:57.557,2025-06-20 00:07:17.660,20.103
Poland,1,2025-06-20 00:08:07.784,2025-06-20 00:08:57.333,49.549
Argentina,1,2025-06-20 00:08:57.333,2025-06-20 00:09:41.858,44.525
Argentina,1,2025-06-20 00:09:41.858,2025-06-20 00:10:30.051,48.193
Argentina,1,2025-06-20 00:10:30.051,2025-06-20 00:11:38.965,68.914
Argentina,1,2025-06-20 00:11:46.153,2025-06-20 00:12:31.318,45.165
Argentina,1,2025-06-20 00:12:31.318,2025-06-20 00:12:40.032,8.714
Argentina,1,2025-06-20 00:12:40.032,2025-06-20 00:14:49.159,129.127
Poland,1,2025-06-20 00:16:45.684,2025-06-20 00:16:52.537,6.853
Argentina,1,2025-06-20 00:17:28.009,2025-06-20 00:20:46.605,198.596
Argentina,1,2025-06-20 00:20:46.605,2025-06-20 00:21:39.522,52.917
Argentina,1,2025-06-20 00:21:51.544,2025-06-20 00:23:24.175,92.631
Argentina,1,2025-06-20 00:23:25.694,2025-06-20 00:26:04.595,158.901
Argentina,1,2025-06-20 00:26:12.860,2025-06-20 00:27:57.566,104.706
Poland,1,2025-06-20 00:28:34.348,2025-06-20 00:39:29.460,655.112
Poland,1,2025-06-20 00:39:29.460,2025-06-20 00:39:44.636,15.176
Poland,1,2025-06-20 00:39:44.636,2025-06-20 00:41:16.778,92.142
Poland,1,2025-06-20 00:41:48.941,2025-06-20 00:46:59.837,310.896
Argentina,1,2025-06-20 00:46:59.837,2025-06-20 00:47:29.332,29.495
Argentina,2,2025-06-20 00:02:40.029,2025-06-20 00:04:29.837,109.808
Poland,2,2025-06-20 00:04:29.837,2025-06-20 00:05:14.122,44.285
Poland,2,2025-06-20 00:05:14.122,2025-06-20 00:05:43.219,29.097
Poland,2,2025-06-20 00:05:43.219,2025-06-20 00:06:25.255,42.036
Poland,2,2025-06-20 00:06:25.255,2025-06-20 00:06:27.075,1.8199999999999998
Poland,2,2025-06-20 00:06:27.075,2025-06-20 00:06:29.347,2.2720000000000002
Argentina,2,2025-06-20 00:06:29.347,2025-06-20 00:07:14.449,45.102
Argentina,2,2025-06-20 00:07:26.080,2025-06-20 00:08:17.867,51.787
Poland,2,2025-06-20 00:08:17.867,2025-06-20 00:11:59.033,221.166
Poland,2,2025-06-20 00:11:59.033,2025-06-20 00:13:02.411,63.378
Poland,2,2025-06-20 00:13:02.411,2025-06-20 00:15:59.469,177.058
Poland,2,2025-06-20 00:15:59.469,2025-06-20 00:16:22.581,23.112
Argentina,2,2025-06-20 00:16:54.769,2025-06-20 00:18:18.664,83.895
Argentina,2,2025-06-20 00:18:18.664,2025-06-20 00:20:47.215,148.551
Argentina,2,2025-06-20 00:21:25.213,2025-06-20 00:21:29.104,3.891
Poland,2,2025-06-20 00:23:27.246,2025-06-20 00:25:45.011,137.765
Poland,2,2025-06-20 00:25:45.011,2025-06-20 00:25:47.406,2.395
Argentina,2,2025-06-20 00:25:47.406,2025-06-20 00:31:29.890,342.484
Argentina,2,2025-06-20 00:31:33.378,2025-06-20 00:32:37.774,64.396
Poland,2,2025-06-20 00:32:37.774,2025-06-20 00:39:13.398,395.624
Poland,2,2025-06-20 00:39:13.398,2025-06-20 00:39:16.676,3.278
Argentina,2,2025-06-20 00:39:16.676,2025-06-20 00:40:00.801,44.125
Poland,2,2025-06-20 00:40:36.459,2025-06-20 00:40:46.227,9.768
Poland,2,2025-06-20 00:40:57.966,2025-06-20 00:43:03.787,125.821
Argentina,2,2025-06-20 00:43:04.672,2025-06-20 00:44:41.376,96.704
Argentina,2,2025-06-20 00:45:40.323,2025-06-20 00:45:43.343,3.02
Argentina,2,2025-06-20 00:46:56.312,2025-06-20 00:47:01.723,5.411
Argentina,2,2025-06-20 00:47:01.723,2025-06-20 00:49:29.469,147.746
