team,period,loss_time,recovery_time,time_to_recover
Saudi Arabia,1,2025-06-20 00:00:11.377,2025-06-20 00:02:32.713,141.336
Saudi Arabia,1,2025-06-20 00:02:32.713,2025-06-20 00:04:29.354,116.641
Argentina,1,2025-06-20 00:04:55.582,2025-06-20 00:05:59.843,64.261
Saudi Arabia,1,2025-06-20 00:10:32.528,2025-06-20 00:10:45.887,13.359
Saudi Arabia,1,2025-06-20 00:10:45.887,2025-06-20 00:10:50.997,5.11
Saudi Arabia,1,2025-06-20 00:10:59.647,2025-06-20 00:11:01.695,2.048
Saudi Arabia,1,2025-06-20 00:11:01.695,2025-06-20 00:11:03.734,2.039
Saudi Arabia,1,2025-06-20 00:11:03.734,2025-06-20 00:11:07.498,3.7640000000000002
Saudi Arabia,1,2025-06-20 00:11:07.498,2025-06-20 00:11:22.385,14.887
Argentina,1,2025-06-20 00:12:07.518,2025-06-20 00:12:27.611,20.093
Argentina,1,2025-06-20 00:12:39.788,2025-06-20 00:13:39.954,60.166
Argentina,1,2025-06-20 00:13:39.954,2025-06-20 00:14:12.946,32.992
Argentina,1,2025-06-20 00:14:14.505,2025-06-20 00:15:57.740,103.235
Argentina,1,2025-06-20 00:15:57.740,2025-06-20 00:16:05.594,7.854
Argentina,1,2025-06-20 00:16:46.781,2025-06-20 00:17:40.033,53.252
Saudi Arabia,1,2025-06-20 00:18:33.569,2025-06-20 00:19:37.287,63.718
Saudi Arabia,1,2025-06-20 00:19:37.287,2025-06-20 00:21:21.713,104.426
Saudi Arabia,1,2025-06-20 00:21:21.713,2025-06-20 00:21:23.291,1.5779999999999998
Argentina,1,2025-06-20 00:21:24.983,2025-06-20 00:22:35.647,70.664
Argentina,1,2025-06-20 00:22:35.647,2025-06-20 00:23:02.353,26.706
Argentina,1,2025-06-20 00:23:02.353,2025-06-20 00:23:58.779,56.426
Argentina,1,2025-06-20 00:24:24.608,2025-06-20 00:24:32.078,7.47
Saudi Arabia,1,2025-06-20 00:24:32.078,2025-06-20 00:26:42.162,130.084
Saudi Arabia,1,2025-06-20 00:26:44.182,2025-06-20 00:28:45.771,121.589
Argentina,1,2025-06-20 00:28:45.771,2025-06-20 00:32:37.988,232.217
Argentina,1,2025-06-20 00:32:37.988,2025-06-20 00:33:09.529,31.541
Argentina,1,2025-06-20 00:33:13.689,2025-06-20 00:34:05.239,51.55
Saudi Arabia,1,2025-06-20 00:34:39.205,2025-06-20 00:34:43.783,4.578
Saudi Arabia,1,2025-06-20 00:34:55.978,2025-06-20 00:38:27.844,211.866
Saudi Arabia,1,2025-06-20 00:38:27.844,2025-06-20 00:38:45.709,17.865
Argentina,1,2025-06-20 00:38:46.499,2025-06-20 00:38:49.865,3.366
Argentina,1,2025-06-20 00:38:49.865,2025-06-20 00:38:50.904,1.039
Saudi Arabia,1,2025-06-20 00:38:50.904,2025-06-20 00:42:35.199,224.295
Saudi Arabia,1,2025-06-20 00:42:35.199,2025-06-20 00:42:51.339,16.14
Saudi Arabia,1,2025-06-20 00:42:52.636,2025-06-20 00:42:54.453,1.817
Saudi Arabia,1,2025-06-20 00:42:54.453,2025-06-20 00:44:06.550,72.097
Saudi Arabia,1,2025-06-20 00:44:12.908,2025-06-20 00:44:18.818,5.91
Saudi Arabia,1,2025-06-20 00:44:18.818,2025-06-20 00:44:50.995,32.177
Argentina,1,2025-06-20 00:44:53.827,2025-06-20 00:47:05.258,131.431
Argentina,1,2025-06-20 00:47:05.258,2025-06-20 00:49:55.192,169.934
Argentina,2,2025-06-20 00:00:41.083,2025-06-20 00:01:31.019,49.936
Saudi Arabia,2,2025-06-20 00:02:15.257,2025-06-20 00:02:29.240,13.983
Saudi Arabia,2,2025-06-20 00:02:29.240,2025-06-20 00:02:33.816,4.576
Saudi Arabia,2,2025-06-20 00:04:20.255,2025-06-20 00:05:13.468,53.213
Saudi Arabia,2,2025-06-20 00:05:15.399,2025-06-20 00:05:26.831,11.432
Saudi Arabia,2,2025-06-20 00:05:30.078,2025-06-20 00:07:12.360,102.282
