team,period,loss_time,recovery_time,time_to_recover
France,1,2025-06-20 00:00:20.719,2025-06-20 00:00:53.466,32.747
France,1,2025-06-20 00:00:59.059,2025-06-20 00:01:32.769,33.71
France,1,2025-06-20 00:01:37.256,2025-06-20 00:06:47.870,310.614
Australia,1,2025-06-20 00:06:49.909,2025-06-20 00:07:30.794,40.885
France,1,2025-06-20 00:11:20.518,2025-06-20 00:11:33.450,12.932
France,1,2025-06-20 00:11:50.170,2025-06-20 00:12:26.823,36.653
France,1,2025-06-20 00:12:35.650,2025-06-20 00:13:53.616,77.966
France,1,2025-06-20 00:13:53.616,2025-06-20 00:14:40.147,46.531
France,1,2025-06-20 00:14:40.690,2025-06-20 00:17:45.082,184.392
France,1,2025-06-20 00:17:45.082,2025-06-20 00:18:13.988,28.906
France,1,2025-06-20 00:18:13.988,2025-06-20 00:18:25.659,11.671
France,1,2025-06-20 00:19:05.958,2025-06-20 00:19:40.617,34.659
France,1,2025-06-20 00:19:40.617,2025-06-20 00:20:30.145,49.528
France,1,2025-06-20 00:20:31.581,2025-06-20 00:20:59.878,28.297
France,1,2025-06-20 00:20:59.878,2025-06-20 00:21:54.068,54.19
France,1,2025-06-20 00:21:54.068,2025-06-20 00:22:29.442,35.374
France,1,2025-06-20 00:22:29.442,2025-06-20 00:22:30.478,1.036
Australia,1,2025-06-20 00:22:30.478,2025-06-20 00:23:17.831,47.353
Australia,1,2025-06-20 00:23:20.415,2025-06-20 00:24:15.895,55.48
Australia,1,2025-06-20 00:24:16.579,2025-06-20 00:25:10.311,53.732
France,1,2025-06-20 00:27:45.430,2025-06-20 00:29:56.963,131.533
Australia,1,2025-06-20 00:32:42.471,2025-06-20 00:32:45.745,3.274
Australia,1,2025-06-20 00:33:11.390,2025-06-20 00:33:35.454,24.064
France,1,2025-06-20 00:33:36.953,2025-06-20 00:36:05.024,148.071
Australia,1,2025-06-20 00:36:47.928,2025-06-20 00:36:57.478,9.55
Australia,1,2025-06-20 00:37:07.736,2025-06-20 00:37:14.836,7.1
France,1,2025-06-20 00:37:20.469,2025-06-20 00:38:44.732,84.263
France,1,2025-06-20 00:38:44.732,2025-06-20 00:40:14.076,89.344
France,1,2025-06-20 00:40:38.217,2025-06-20 00:41:47.115,68.898
France,1,2025-06-20 00:42:59.424,2025-06-20 00:45:31.211,151.787
France,1,2025-06-20 00:45:31.211,2025-06-20 00:50:30.845,299.634
France,2,2025-06-20 00:00:39.843,2025-06-20 00:00:49.080,9.237
Australia,2,2025-06-20 00:00:49.080,2025-06-20 00:01:11.046,21.966
Australia,2,2025-06-20 00:01:19.699,2025-06-20 00:01:24.157,4.458
Australia,2,2025-06-20 00:01:34.697,2025-06-20 00:01:36.747,2.05
Australia,2,2025-06-20 00:01:36.747,2025-06-20 00:02:37.381,60.634
Australia,2,2025-06-20 00:02:56.214,2025-06-20 00:03:07.983,11.769
Australia,2,2025-06-20 00:03:07.983,2025-06-20 00:04:16.261,68.278
Australia,2,2025-06-20 00:05:12.314,2025-06-20 00:05:20.807,8.493
Australia,2,2025-06-20 00:05:36.216,2025-06-20 00:06:24.114,47.898
Australia,2,2025-06-20 00:06:24.114,2025-06-20 00:06:37.543,13.429
France,2,2025-06-20 00:07:01.546,2025-06-20 00:07:15.157,13.611
Australia,2,2025-06-20 00:07:15.157,2025-06-20 00:08:20.141,64.984
Australia,2,2025-06-20 00:09:04.228,2025-06-20 00:14:18.684,314.456
France,2,2025-06-20 00:15:03.913,2025-06-20 00:15:05.621,1.708
Australia,2,2025-06-20 00:15:05.621,2025-06-20 00:21:32.441,386.82
France,2,2025-06-20 00:24:35.277,2025-06-20 00:24:50.430,15.153
France,2,2025-06-20 00:24:50.430,2025-06-20 00:24:56.929,6.499
Australia,2,2025-06-20 00:28:45.723,2025-06-20 00:29:31.270,45.547
Australia,2,2025-06-20 00:29:35.745,2025-06-20 00:32:29.539,173.794
Australia,2,2025-06-20 00:32:36.470,2025-06-20 00:32:39.207,2.737
France,2,2025-06-20 00:32:39.207,2025-06-20 00:34:03.095,83.888
France,2,2025-06-20 00:34:03.095,2025-06-20 00:34:05.206,2.111
France,2,2025-06-20 00:34:05.206,2025-06-20 00:34:07.913,2.707
Australia,2,2025-06-20 00:34:07.913,2025-06-20 00:35:06.354,58.441
Australia,2,2025-06-20 00:35:06.354,2025-06-20 00:35:17.334,10.98
Australia,2,2025-06-20 00:36:11.170,2025-06-20 00:37:16.337,65.167
Australia,2,2025-06-20 00:37:25.989,2025-06-20 00:37:57.755,31.766
Australia,2,2025-06-20 00:37:57.780,2025-06-20 00:41:25.169,207.389
France,2,2025-06-20 00:41:43.636,2025-06-20 00:42:25.906,42.27
Australia,2,2025-06-20 00:42:25.906,2025-06-20 00:46:37.829,251.923
France,2,2025-06-20 00:46:56.176,2025-06-20 00:47:29.448,33.272
France,2,2025-06-20 00:47:29.448,2025-06-20 00:48:12.361,42.913
France,2,2025-06-20 00:48:35.199,2025-06-20 00:48:48.263,13.064
France,2,2025-06-20 00:48:48.263,2025-06-20 00:48:51.809,3.5460000000000003
Australia,2,2025-06-20 00:48:51.809,2025-06-20 00:51:06.263,134.454
