team,period,loss_time,recovery_time,time_to_recover
Denmark,1,2025-06-20 00:00:04.758,2025-06-20 00:02:35.075,150.317
France,1,2025-06-20 00:02:35.075,2025-06-20 00:03:52.324,77.249
France,1,2025-06-20 00:04:15.217,2025-06-20 00:04:59.241,44.024
France,1,2025-06-20 00:04:59.241,2025-06-20 00:05:32.034,32.793
France,1,2025-06-20 00:05:32.034,2025-06-20 00:06:23.226,51.192
France,1,2025-06-20 00:06:34.155,2025-06-20 00:09:15.771,161.616
France,1,2025-06-20 00:09:22.103,2025-06-20 00:11:15.541,113.438
Denmark,1,2025-06-20 00:11:21.625,2025-06-20 00:12:36.729,75.104
Denmark,1,2025-06-20 00:12:38.996,2025-06-20 00:12:51.673,12.677
France,1,2025-06-20 00:12:51.673,2025-06-20 00:13:51.603,59.93
France,1,2025-06-20 00:13:51.603,2025-06-20 00:14:47.401,55.798
France,1,2025-06-20 00:16:11.959,2025-06-20 00:17:27.047,75.088
France,1,2025-06-20 00:17:27.047,2025-06-20 00:19:03.236,96.189
Denmark,1,2025-06-20 00:19:03.236,2025-06-20 00:20:24.439,81.203
Denmark,1,2025-06-20 00:20:28.037,2025-06-20 00:21:14.355,46.318
Denmark,1,2025-06-20 00:21:14.355,2025-06-20 00:21:25.770,11.415
France,1,2025-06-20 00:21:25.770,2025-06-20 00:22:15.074,49.304
Denmark,1,2025-06-20 00:22:15.074,2025-06-20 00:26:29.362,254.288
Denmark,1,2025-06-20 00:26:52.351,2025-06-20 00:26:54.843,2.492
Denmark,1,2025-06-20 00:27:11.435,2025-06-20 00:27:31.100,19.665
Denmark,1,2025-06-20 00:27:31.100,2025-06-20 00:28:31.736,60.636
Denmark,1,2025-06-20 00:28:59.720,2025-06-20 00:29:55.075,55.355
Denmark,1,2025-06-20 00:30:39.197,2025-06-20 00:32:34.009,114.812
Denmark,1,2025-06-20 00:32:34.009,2025-06-20 00:34:02.031,88.022
Denmark,1,2025-06-20 00:34:02.031,2025-06-20 00:35:08.823,66.792
France,1,2025-06-20 00:35:08.823,2025-06-20 00:37:26.399,137.576
France,1,2025-06-20 00:37:26.399,2025-06-20 00:38:30.706,64.307
France,1,2025-06-20 00:38:35.481,2025-06-20 00:38:45.116,9.635
France,1,2025-06-20 00:38:45.116,2025-06-20 00:38:49.487,4.371
Denmark,1,2025-06-20 00:39:12.420,2025-06-20 00:39:21.790,9.37
Denmark,1,2025-06-20 00:39:23.236,2025-06-20 00:42:06.227,162.991
France,1,2025-06-20 00:42:06.227,2025-06-20 00:47:13.338,307.111
France,2,2025-06-20 00:00:05.649,2025-06-20 00:00:21.420,15.771
Denmark,2,2025-06-20 00:00:21.420,2025-06-20 00:00:44.460,23.04
Denmark,2,2025-06-20 00:00:46.105,2025-06-20 00:01:06.759,20.654
France,2,2025-06-20 00:01:35.771,2025-06-20 00:01:46.306,10.535
Denmark,2,2025-06-20 00:01:46.306,2025-06-20 00:02:04.047,17.741
Denmark,2,2025-06-20 00:02:04.047,2025-06-20 00:02:29.485,25.438
Denmark,2,2025-06-20 00:02:29.485,2025-06-20 00:02:40.949,11.464
Denmark,2,2025-06-20 00:03:52.538,2025-06-20 00:03:55.765,3.227
Denmark,2,2025-06-20 00:03:55.765,2025-06-20 00:03:57.205,1.44
Denmark,2,2025-06-20 00:03:57.205,2025-06-20 00:13:33.958,576.753
Denmark,2,2025-06-20 00:13:34.803,2025-06-20 00:14:55.386,80.583
Denmark,2,2025-06-20 00:14:55.386,2025-06-20 00:15:05.502,10.116
France,2,2025-06-20 00:15:07.095,2025-06-20 00:15:11.440,4.345
Denmark,2,2025-06-20 00:17:24.890,2025-06-20 00:18:27.327,62.437
Denmark,2,2025-06-20 00:18:28.245,2025-06-20 00:19:23.942,55.697
France,2,2025-06-20 00:20:19.728,2025-06-20 00:21:03.647,43.919
Denmark,2,2025-06-20 00:21:06.812,2025-06-20 00:22:15.246,68.434
France,2,2025-06-20 00:23:55.269,2025-06-20 00:28:13.732,258.463
France,2,2025-06-20 00:28:13.732,2025-06-20 00:29:52.791,99.059
France,2,2025-06-20 00:30:08.756,2025-06-20 00:31:04.547,55.791
France,2,2025-06-20 00:31:11.004,2025-06-20 00:33:17.286,126.282
France,2,2025-06-20 00:33:17.286,2025-06-20 00:33:58.201,40.915
France,2,2025-06-20 00:33:58.201,2025-06-20 00:34:51.622,53.421
France,2,2025-06-20 00:34:51.622,2025-06-20 00:35:12.788,21.166
France,2,2025-06-20 00:35:12.788,2025-06-20 00:40:07.543,294.755
Denmark,2,2025-06-20 00:42:07.822,2025-06-20 00:45:01.731,173.909
Denmark,2,2025-06-20 00:45:01.731,2025-06-20 00:48:49.935,228.204
Denmark,2,2025-06-20 00:48:49.935,2025-06-20 00:49:11.821,21.886
Denmark,2,2025-06-20 00:49:11.821,2025-06-20 00:51:37.382,145.561
