team,period,loss_time,recovery_time,time_to_recover
France,1,2025-06-20 00:00:02.788,2025-06-20 00:01:39.105,96.317
France,1,2025-06-20 00:01:39.105,2025-06-20 00:03:30.993,111.888
France,1,2025-06-20 00:03:30.993,2025-06-20 00:06:02.674,151.681
France,1,2025-06-20 00:06:20.079,2025-06-20 00:08:46.079,146.0
France,1,2025-06-20 00:09:01.601,2025-06-20 00:11:50.827,169.226
France,1,2025-06-20 00:11:50.827,2025-06-20 00:14:10.956,140.129
France,1,2025-06-20 00:14:10.956,2025-06-20 00:15:59.403,108.447
England,1,2025-06-20 00:18:02.288,2025-06-20 00:18:43.212,40.924
France,1,2025-06-20 00:18:43.212,2025-06-20 00:24:36.376,353.164
England,1,2025-06-20 00:26:30.862,2025-06-20 00:27:29.726,58.864
England,1,2025-06-20 00:28:08.705,2025-06-20 00:28:15.842,7.1370000000000005
England,1,2025-06-20 00:28:15.842,2025-06-20 00:30:04.404,108.562
France,1,2025-06-20 00:30:05.404,2025-06-20 00:32:25.605,140.201
France,1,2025-06-20 00:32:25.605,2025-06-20 00:33:27.312,61.707
France,1,2025-06-20 00:34:20.634,2025-06-20 00:34:26.925,6.291
France,1,2025-06-20 00:34:45.028,2025-06-20 00:34:48.190,3.162
France,1,2025-06-20 00:35:45.204,2025-06-20 00:37:59.363,134.159
England,1,2025-06-20 00:37:59.363,2025-06-20 00:40:13.656,134.293
France,1,2025-06-20 00:40:13.656,2025-06-20 00:43:11.412,177.756
France,1,2025-06-20 00:43:11.412,2025-06-20 00:43:22.209,10.797
England,1,2025-06-20 00:44:10.790,2025-06-20 00:49:46.304,335.514
England,2,2025-06-20 00:00:04.768,2025-06-20 00:00:28.285,23.517
England,2,2025-06-20 00:00:35.878,2025-06-20 00:00:48.724,12.846
France,2,2025-06-20 00:00:48.724,2025-06-20 00:02:14.645,85.921
France,2,2025-06-20 00:02:32.543,2025-06-20 00:03:13.772,41.229
France,2,2025-06-20 00:03:13.772,2025-06-20 00:03:14.901,1.129
England,2,2025-06-20 00:03:14.901,2025-06-20 00:06:01.216,166.315
France,2,2025-06-20 00:09:30.640,2025-06-20 00:10:45.998,75.358
France,2,2025-06-20 00:10:45.998,2025-06-20 00:14:59.448,253.45
France,2,2025-06-20 00:14:59.448,2025-06-20 00:18:21.364,201.916
England,2,2025-06-20 00:18:21.364,2025-06-20 00:22:21.980,240.616
England,2,2025-06-20 00:22:23.290,2025-06-20 00:23:25.984,62.694
France,2,2025-06-20 00:23:25.984,2025-06-20 00:26:04.499,158.515
England,2,2025-06-20 00:26:04.499,2025-06-20 00:27:47.317,102.818
England,2,2025-06-20 00:28:12.918,2025-06-20 00:28:48.926,36.008
England,2,2025-06-20 00:28:48.926,2025-06-20 00:28:50.944,2.018
France,2,2025-06-20 00:28:52.366,2025-06-20 00:30:50.001,117.635
England,2,2025-06-20 00:34:07.091,2025-06-20 00:34:15.504,8.413
England,2,2025-06-20 00:34:16.042,2025-06-20 00:34:43.435,27.393
France,2,2025-06-20 00:34:43.435,2025-06-20 00:40:14.316,330.881
France,2,2025-06-20 00:40:14.316,2025-06-20 00:40:15.730,1.414
England,2,2025-06-20 00:40:15.730,2025-06-20 00:41:04.389,48.659
France,2,2025-06-20 00:41:04.986,2025-06-20 00:42:27.215,82.229
France,2,2025-06-20 00:42:27.215,2025-06-20 00:43:42.326,75.111
England,2,2025-06-20 00:43:42.326,2025-06-20 00:44:37.736,55.41
England,2,2025-06-20 00:44:45.119,2025-06-20 00:44:47.601,2.482
France,2,2025-06-20 00:44:47.601,2025-06-20 00:44:51.566,3.965
France,2,2025-06-20 00:44:51.566,2025-06-20 00:44:53.498,1.932
England,2,2025-06-20 00:44:53.498,2025-06-20 00:46:04.804,71.306
England,2,2025-06-20 00:46:07.401,2025-06-20 00:47:07.395,59.994
England,2,2025-06-20 00:47:25.548,2025-06-20 00:48:53.571,88.023
England,2,2025-06-20 00:49:18.844,2025-06-20 00:49:24.184,5.34
England,2,2025-06-20 00:49:29.269,2025-06-20 00:53:26.162,236.893
England,2,2025-06-20 00:53:26.162,2025-06-20 00:53:27.516,1.354
