team,period,loss_time,recovery_time,time_to_recover
Morocco,1,2025-06-20 00:00:28.607,2025-06-20 00:00:57.909,29.302
Morocco,1,2025-06-20 00:00:57.909,2025-06-20 00:01:42.053,44.144
Morocco,1,2025-06-20 00:01:42.053,2025-06-20 00:03:10.860,88.807
France,1,2025-06-20 00:03:32.957,2025-06-20 00:04:36.346,63.389
France,1,2025-06-20 00:04:36.346,2025-06-20 00:04:39.818,3.472
Morocco,1,2025-06-20 00:06:13.345,2025-06-20 00:06:19.752,6.407
Morocco,1,2025-06-20 00:06:19.752,2025-06-20 00:07:31.678,71.926
Morocco,1,2025-06-20 00:07:31.678,2025-06-20 00:07:37.230,5.552
Morocco,1,2025-06-20 00:07:37.230,2025-06-20 00:08:14.408,37.178
Morocco,1,2025-06-20 00:08:18.419,2025-06-20 00:09:17.479,59.06
Morocco,1,2025-06-20 00:09:26.524,2025-06-20 00:10:06.426,39.902
Morocco,1,2025-06-20 00:10:06.426,2025-06-20 00:13:54.563,228.137
France,1,2025-06-20 00:13:54.563,2025-06-20 00:14:38.288,43.725
France,1,2025-06-20 00:14:38.288,2025-06-20 00:17:59.762,201.474
France,1,2025-06-20 00:17:59.762,2025-06-20 00:21:34.256,214.494
France,1,2025-06-20 00:21:34.256,2025-06-20 00:22:46.834,72.578
Morocco,1,2025-06-20 00:22:47.675,2025-06-20 00:23:52.752,65.077
Morocco,1,2025-06-20 00:23:56.507,2025-06-20 00:24:07.463,10.956
France,1,2025-06-20 00:24:07.463,2025-06-20 00:25:29.565,82.102
France,1,2025-06-20 00:25:29.565,2025-06-20 00:26:12.203,42.638
France,1,2025-06-20 00:26:12.203,2025-06-20 00:26:14.283,2.08
Morocco,1,2025-06-20 00:26:14.283,2025-06-20 00:28:36.881,142.598
France,1,2025-06-20 00:28:36.881,2025-06-20 00:28:44.816,7.9350000000000005
France,1,2025-06-20 00:28:44.816,2025-06-20 00:28:49.035,4.219
Morocco,1,2025-06-20 00:28:49.035,2025-06-20 00:29:41.974,52.939
Morocco,1,2025-06-20 00:29:41.974,2025-06-20 00:30:59.482,77.508
Morocco,1,2025-06-20 00:30:59.482,2025-06-20 00:31:53.626,54.144
France,1,2025-06-20 00:31:53.626,2025-06-20 00:32:14.367,20.741
France,1,2025-06-20 00:32:14.367,2025-06-20 00:32:15.858,1.491
France,1,2025-06-20 00:32:15.858,2025-06-20 00:34:07.544,111.686
Morocco,1,2025-06-20 00:34:59.975,2025-06-20 00:38:13.094,193.119
Morocco,1,2025-06-20 00:38:13.094,2025-06-20 00:38:18.076,4.982
Morocco,1,2025-06-20 00:38:23.040,2025-06-20 00:42:30.832,247.792
Morocco,1,2025-06-20 00:42:30.832,2025-06-20 00:42:35.479,4.647
Morocco,1,2025-06-20 00:42:35.479,2025-06-20 00:42:45.429,9.95
Morocco,1,2025-06-20 00:42:45.429,2025-06-20 00:42:46.643,1.214
Morocco,1,2025-06-20 00:42:46.643,2025-06-20 00:43:53.163,66.52
Morocco,1,2025-06-20 00:43:56.154,2025-06-20 00:45:06.137,69.983
Morocco,1,2025-06-20 00:45:06.137,2025-06-20 00:46:10.475,64.338
Morocco,1,2025-06-20 00:46:35.428,2025-06-20 00:46:53.714,18.286
Morocco,1,2025-06-20 00:47:34.723,2025-06-20 00:47:37.495,2.7720000000000002
Morocco,1,2025-06-20 00:47:37.495,2025-06-20 00:47:39.798,2.303
France,2,2025-06-20 00:00:03.802,2025-06-20 00:00:10.122,6.32
France,2,2025-06-20 00:00:10.122,2025-06-20 00:01:38.058,87.936
France,2,2025-06-20 00:01:38.058,2025-06-20 00:01:39.312,1.254
France,2,2025-06-20 00:01:39.312,2025-06-20 00:04:11.571,152.259
France,2,2025-06-20 00:04:11.571,2025-06-20 00:04:24.242,12.671
Morocco,2,2025-06-20 00:04:47.427,2025-06-20 00:04:52.339,4.912
Morocco,2,2025-06-20 00:05:02.722,2025-06-20 00:05:06.214,3.492
Morocco,2,2025-06-20 00:05:22.502,2025-06-20 00:05:37.318,14.816
France,2,2025-06-20 00:05:37.318,2025-06-20 00:07:48.266,130.948
France,2,2025-06-20 00:07:48.266,2025-06-20 00:08:03.399,15.133
France,2,2025-06-20 00:08:03.399,2025-06-20 00:09:37.772,94.373
France,2,2025-06-20 00:09:39.753,2025-06-20 00:10:13.241,33.488
France,2,2025-06-20 00:10:13.241,2025-06-20 00:11:13.831,60.59
France,2,2025-06-20 00:11:20.305,2025-06-20 00:14:20.684,180.379
France,2,2025-06-20 00:14:20.684,2025-06-20 00:15:33.939,73.255
Morocco,2,2025-06-20 00:15:33.939,2025-06-20 00:16:08.548,34.609
Morocco,2,2025-06-20 00:16:13.814,2025-06-20 00:16:49.208,35.394
Morocco,2,2025-06-20 00:16:54.799,2025-06-20 00:18:55.622,120.823
Morocco,2,2025-06-20 00:18:59.189,2025-06-20 00:20:19.766,80.577
Morocco,2,2025-06-20 00:20:19.766,2025-06-20 00:22:13.706,113.94
France,2,2025-06-20 00:22:30.744,2025-06-20 00:22:36.991,6.247
Morocco,2,2025-06-20 00:22:36.991,2025-06-20 00:24:04.279,87.288
France,2,2025-06-20 00:24:04.279,2025-06-20 00:24:36.096,31.817
France,2,2025-06-20 00:24:36.096,2025-06-20 00:24:44.009,7.913
Morocco,2,2025-06-20 00:24:44.009,2025-06-20 00:28:21.216,217.207
Morocco,2,2025-06-20 00:28:21.216,2025-06-20 00:30:00.442,99.226
Morocco,2,2025-06-20 00:30:00.442,2025-06-20 00:30:07.893,7.451
Morocco,2,2025-06-20 00:30:07.893,2025-06-20 00:31:54.811,106.918
Morocco,2,2025-06-20 00:31:54.811,2025-06-20 00:32:02.585,7.774
France,2,2025-06-20 00:33:20.283,2025-06-20 00:33:32.067,11.784
France,2,2025-06-20 00:33:32.067,2025-06-20 00:33:49.882,17.815
Morocco,2,2025-06-20 00:35:40.549,2025-06-20 00:35:55.365,14.816
Morocco,2,2025-06-20 00:35:55.365,2025-06-20 00:38:23.870,148.505
France,2,2025-06-20 00:38:23.870,2025-06-20 00:42:54.260,270.39
France,2,2025-06-20 00:43:01.655,2025-06-20 00:45:41.702,160.047
France,2,2025-06-20 00:45:41.702,2025-06-20 00:46:26.751,45.049
France,2,2025-06-20 00:46:33.808,2025-06-20 00:46:51.111,17.303
France,2,2025-06-20 00:46:51.111,2025-06-20 00:48:41.140,110.029
Morocco,2,2025-06-20 00:49:03.876,2025-06-20 00:50:00.758,56.882
