team,period,loss_time,recovery_time,time_to_recover
France,1,2025-06-20 00:00:06.533,2025-06-20 00:00:18.874,12.341
Poland,1,2025-06-20 00:00:18.874,2025-06-20 00:04:01.725,222.851
Poland,1,2025-06-20 00:04:01.725,2025-06-20 00:04:50.935,49.21
Poland,1,2025-06-20 00:04:54.367,2025-06-20 00:06:05.649,71.282
Poland,1,2025-06-20 00:06:05.649,2025-06-20 00:06:17.642,11.993
France,1,2025-06-20 00:06:17.642,2025-06-20 00:07:39.302,81.66
France,1,2025-06-20 00:07:47.104,2025-06-20 00:08:09.036,21.932
France,1,2025-06-20 00:08:09.036,2025-06-20 00:09:20.578,71.542
France,1,2025-06-20 00:09:22.245,2025-06-20 00:09:26.216,3.971
France,1,2025-06-20 00:09:26.994,2025-06-20 00:10:28.204,61.21
France,1,2025-06-20 00:10:45.151,2025-06-20 00:11:33.373,48.222
France,1,2025-06-20 00:11:33.373,2025-06-20 00:11:35.972,2.599
Poland,1,2025-06-20 00:11:35.972,2025-06-20 00:13:04.541,88.569
Poland,1,2025-06-20 00:13:04.541,2025-06-20 00:13:14.376,9.835
France,1,2025-06-20 00:13:14.376,2025-06-20 00:13:17.218,2.842
Poland,1,2025-06-20 00:13:18.538,2025-06-20 00:13:53.070,34.532
Poland,1,2025-06-20 00:13:53.070,2025-06-20 00:15:33.319,100.249
Poland,1,2025-06-20 00:15:33.319,2025-06-20 00:15:35.863,2.544
France,1,2025-06-20 00:15:35.863,2025-06-20 00:16:00.127,24.264
France,1,2025-06-20 00:16:00.127,2025-06-20 00:16:01.567,1.44
France,1,2025-06-20 00:16:01.567,2025-06-20 00:18:03.950,122.383
France,1,2025-06-20 00:18:03.950,2025-06-20 00:18:21.766,17.816
France,1,2025-06-20 00:18:26.945,2025-06-20 00:19:47.089,80.144
France,1,2025-06-20 00:19:53.777,2025-06-20 00:22:15.085,141.308
France,1,2025-06-20 00:22:15.085,2025-06-20 00:24:06.315,111.23
France,1,2025-06-20 00:24:06.315,2025-06-20 00:25:51.001,104.686
France,1,2025-06-20 00:25:51.001,2025-06-20 00:27:18.564,87.563
France,1,2025-06-20 00:27:32.149,2025-06-20 00:28:06.756,34.607
France,1,2025-06-20 00:29:34.641,2025-06-20 00:35:31.313,356.672
France,1,2025-06-20 00:35:33.418,2025-06-20 00:36:41.783,68.365
France,1,2025-06-20 00:36:41.783,2025-06-20 00:37:15.573,33.79
France,1,2025-06-20 00:37:15.573,2025-06-20 00:39:44.747,149.174
France,1,2025-06-20 00:40:26.743,2025-06-20 00:40:30.484,3.741
France,1,2025-06-20 00:40:52.454,2025-06-20 00:42:00.607,68.153
France,1,2025-06-20 00:45:12.554,2025-06-20 00:45:53.310,40.756
Poland,2,2025-06-20 00:00:16.510,2025-06-20 00:03:31.837,195.327
France,2,2025-06-20 00:04:01.074,2025-06-20 00:04:34.774,33.7
France,2,2025-06-20 00:04:34.774,2025-06-20 00:05:00.655,25.881
France,2,2025-06-20 00:05:00.655,2025-06-20 00:08:50.385,229.73
France,2,2025-06-20 00:08:50.385,2025-06-20 00:10:06.281,75.896
France,2,2025-06-20 00:10:06.281,2025-06-20 00:10:33.117,26.836
France,2,2025-06-20 00:10:39.049,2025-06-20 00:10:44.668,5.619
France,2,2025-06-20 00:10:44.668,2025-06-20 00:13:47.182,182.514
France,2,2025-06-20 00:13:47.182,2025-06-20 00:15:10.588,83.406
France,2,2025-06-20 00:15:10.588,2025-06-20 00:15:16.952,6.364
France,2,2025-06-20 00:15:16.952,2025-06-20 00:17:45.000,148.048
France,2,2025-06-20 00:17:58.720,2025-06-20 00:18:00.006,1.286
Poland,2,2025-06-20 00:18:49.338,2025-06-20 00:19:12.667,23.329
Poland,2,2025-06-20 00:19:23.238,2025-06-20 00:21:05.648,102.41
Poland,2,2025-06-20 00:21:09.201,2025-06-20 00:22:29.292,80.091
Poland,2,2025-06-20 00:22:29.292,2025-06-20 00:23:35.427,66.135
Poland,2,2025-06-20 00:23:50.244,2025-06-20 00:24:09.182,18.938
France,2,2025-06-20 00:24:09.182,2025-06-20 00:24:31.172,21.99
France,2,2025-06-20 00:24:31.172,2025-06-20 00:26:39.138,127.966
Poland,2,2025-06-20 00:26:44.937,2025-06-20 00:27:03.264,18.327
Poland,2,2025-06-20 00:27:12.547,2025-06-20 00:27:59.380,46.833
France,2,2025-06-20 00:31:46.896,2025-06-20 00:31:50.157,3.261
France,2,2025-06-20 00:31:50.157,2025-06-20 00:33:30.068,99.911
France,2,2025-06-20 00:33:44.334,2025-06-20 00:35:09.169,84.835
Poland,2,2025-06-20 00:35:09.169,2025-06-20 00:37:28.945,139.776
Poland,2,2025-06-20 00:37:35.519,2025-06-20 00:38:32.591,57.072
Poland,2,2025-06-20 00:38:32.591,2025-06-20 00:39:59.933,87.342
France,2,2025-06-20 00:39:59.933,2025-06-20 00:42:44.503,164.57
Poland,2,2025-06-20 00:46:46.155,2025-06-20 00:46:50.307,4.152
France,2,2025-06-20 00:47:22.095,2025-06-20 00:47:30.200,8.105
France,2,2025-06-20 00:47:30.200,2025-06-20 00:49:23.035,112.835
