team,period,loss_time,recovery_time,time_to_recover
France,1,2025-06-20 00:00:39.460,2025-06-20 00:01:54.918,75.458
France,1,2025-06-20 00:02:05.649,2025-06-20 00:02:10.295,4.646
France,1,2025-06-20 00:03:07.360,2025-06-20 00:03:55.653,48.293
France,1,2025-06-20 00:03:55.653,2025-06-20 00:04:46.845,51.192
Tunisia,1,2025-06-20 00:04:47.992,2025-06-20 00:06:15.610,87.618
Tunisia,1,2025-06-20 00:06:15.610,2025-06-20 00:06:30.607,14.997
Tunisia,1,2025-06-20 00:06:30.607,2025-06-20 00:06:49.093,18.486
France,1,2025-06-20 00:06:49.093,2025-06-20 00:10:31.071,221.978
France,1,2025-06-20 00:10:31.071,2025-06-20 00:14:04.811,213.74
France,1,2025-06-20 00:14:09.260,2025-06-20 00:14:17.851,8.591
France,1,2025-06-20 00:14:17.851,2025-06-20 00:16:25.455,127.604
France,1,2025-06-20 00:16:29.496,2025-06-20 00:17:37.716,68.22
France,1,2025-06-20 00:17:49.665,2025-06-20 00:19:19.847,90.182
France,1,2025-06-20 00:19:21.698,2025-06-20 00:19:29.421,7.723
Tunisia,1,2025-06-20 00:19:29.421,2025-06-20 00:19:34.896,5.475
Tunisia,1,2025-06-20 00:19:37.061,2025-06-20 00:20:07.506,30.445
France,1,2025-06-20 00:20:07.506,2025-06-20 00:21:03.542,56.036
France,1,2025-06-20 00:21:03.542,2025-06-20 00:22:20.584,77.042
France,1,2025-06-20 00:22:20.584,2025-06-20 00:22:22.207,1.623
France,1,2025-06-20 00:22:25.201,2025-06-20 00:27:20.377,295.176
Tunisia,1,2025-06-20 00:27:20.377,2025-06-20 00:28:50.349,89.972
Tunisia,1,2025-06-20 00:28:50.349,2025-06-20 00:30:10.304,79.955
France,1,2025-06-20 00:30:10.304,2025-06-20 00:31:35.974,85.67
France,1,2025-06-20 00:32:04.897,2025-06-20 00:32:09.012,4.115
France,1,2025-06-20 00:32:09.012,2025-06-20 00:32:18.759,9.747
France,1,2025-06-20 00:32:18.759,2025-06-20 00:33:44.835,86.076
Tunisia,1,2025-06-20 00:34:04.876,2025-06-20 00:34:32.389,27.513
Tunisia,1,2025-06-20 00:35:10.648,2025-06-20 00:35:54.352,43.704
Tunisia,1,2025-06-20 00:36:26.493,2025-06-20 00:36:30.879,4.386
France,1,2025-06-20 00:36:33.612,2025-06-20 00:36:51.815,18.203
France,1,2025-06-20 00:37:10.633,2025-06-20 00:37:13.761,3.128
France,1,2025-06-20 00:37:13.761,2025-06-20 00:38:24.385,70.624
Tunisia,1,2025-06-20 00:38:24.385,2025-06-20 00:38:49.945,25.56
Tunisia,1,2025-06-20 00:38:51.986,2025-06-20 00:41:41.026,169.04
Tunisia,1,2025-06-20 00:42:48.829,2025-06-20 00:42:51.372,2.543
Tunisia,1,2025-06-20 00:42:53.337,2025-06-20 00:44:18.609,85.272
Tunisia,1,2025-06-20 00:44:18.609,2025-06-20 00:44:21.847,3.238
Tunisia,1,2025-06-20 00:44:21.847,2025-06-20 00:46:48.387,146.54
Tunisia,2,2025-06-20 00:00:16.735,2025-06-20 00:00:21.436,4.701
Tunisia,2,2025-06-20 00:00:49.198,2025-06-20 00:01:01.485,12.287
Tunisia,2,2025-06-20 00:01:01.485,2025-06-20 00:01:36.060,34.575
France,2,2025-06-20 00:01:53.584,2025-06-20 00:01:59.708,6.124
Tunisia,2,2025-06-20 00:01:59.708,2025-06-20 00:03:40.944,101.236
Tunisia,2,2025-06-20 00:03:43.874,2025-06-20 00:04:41.495,57.621
Tunisia,2,2025-06-20 00:04:51.686,2025-06-20 00:05:42.524,50.838
Tunisia,2,2025-06-20 00:05:52.570,2025-06-20 00:06:28.642,36.072
France,2,2025-06-20 00:08:00.817,2025-06-20 00:08:49.041,48.224
Tunisia,2,2025-06-20 00:08:49.041,2025-06-20 00:09:27.767,38.726
France,2,2025-06-20 00:09:41.369,2025-06-20 00:09:48.993,7.624
France,2,2025-06-20 00:09:48.993,2025-06-20 00:10:35.210,46.217
France,2,2025-06-20 00:10:35.210,2025-06-20 00:10:57.020,21.81
Tunisia,2,2025-06-20 00:11:19.104,2025-06-20 00:12:12.591,53.487
